snapshot_date,product,contracts,source_sha256,evidence_tier,panel_bound,contract_month_coverage,open_date_coverage,official_last_trade_date_coverage,upper_limit_percentage_coverage,lower_limit_percentage_coverage,upper_limit_price_coverage,lower_limit_price_coverage,position_limit_raw_coverage,initial_margin_rate_coverage,maintenance_margin_rate_coverage,multiplier_coverage,minimum_price_tick_coverage
20241008,HO,304,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241008,IC,4,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241008,IF,4,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241008,IH,4,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241008,IM,4,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241008,IO,312,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241008,MO,328,3b430fdcd5b283b4fb5e0ac1bbac8d19c6c89a496e891866518b87b597cb7ec9,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,HO,322,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,IC,4,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,IF,4,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,IH,4,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,IM,4,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,IO,354,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241009,MO,378,4d3251e87e79003518a58e16edafda02617a4a56ab29955152c891149f41208f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,HO,322,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,IC,4,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,IF,4,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,IH,4,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,IM,4,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,IO,354,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241010,MO,378,45d264dc3873fd6738a188472b85bde80bd59303f1793c08b520977965ffd27f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,HO,322,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,IC,4,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,IF,4,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,IH,4,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,IM,4,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,IO,354,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241011,MO,378,161ae3d26e8cdfd418972fda0780875cbc3f8e776ddc4e4a1877ee48b8549687,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,HO,322,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,IC,4,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,IF,4,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,IH,4,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,IM,4,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,IO,354,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241014,MO,378,563fe752f37392290e0575a5fb6d9a8c219cec24306674574c1c354cf1dc610f,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,HO,322,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,IC,4,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,IF,4,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,IH,4,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,IM,4,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,IO,354,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241015,MO,378,32b09c057eefcf9394f93adbcd4d3dfc795a6d26c6b7ba12a077b7a2f269f4f4,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241016,HO,322,0cf8aa3b623d5d27d777b9f2a52f4f88977c58babbf7d46a113b8a5ea27f5cc2,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
20241016,IC,4,0cf8aa3b623d5d27d777b9f2a52f4f88977c58babbf7d46a113b8a5ea27f5cc2,official_cffex_trade_parameter_snapshot,False,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
