spec_id,status
CO-0216,complete
CO-0217,complete
CO-0218,complete
CO-0219,complete
CO-0220,complete
CO-0221,complete
CO-0222,complete
CO-0223,complete
CO-0224,complete
CO-0225,complete
CO-0226,complete
CO-0227,complete
CO-0228,complete
CO-0229,complete
CO-0230,complete
CO-0231,complete
CO-0232,complete
CO-0233,complete
CO-0234,complete
CO-0235,complete
CO-0236,complete
CO-0237,complete
CO-0238,complete
CO-0239,complete
CO-0240,complete
CO-0241,complete
CO-0242,complete
CO-0243,complete
CO-0244,complete
CO-0245,complete
CO-0246,complete
CO-0247,complete
CO-0248,complete
CO-0249,complete
CO-0250,complete
CO-0251,complete
CO-0252,complete
CO-0253,complete
CO-0254,complete
CO-0255,complete
CO-0256,complete
CO-0257,complete
CO-0258,complete
CO-0259,complete
CO-0260,complete
CO-0261,complete
CO-0262,complete
CO-0263,complete
CO-0264,complete
CO-0265,complete
CO-0266,complete
CO-0267,complete
CO-0268,complete
CO-0269,complete
CO-0270,complete
CO-0271,complete
CO-0272,complete
CO-0273,complete
CO-0274,complete
CO-0275,complete
CO-0276,complete
CO-0277,complete
CO-0278,complete
CO-0279,complete
CO-0280,complete
CO-0281,complete
CO-0282,complete
CO-0283,complete
CO-0284,complete
CO-0285,complete
CO-0286,complete
CO-0287,complete
CO-0288,complete
CO-0289,complete
CO-0290,complete
CO-0291,complete
CO-0292,complete
CO-0293,complete
CO-0294,complete
CO-0295,complete
CO-0296,complete
CO-0297,complete
CO-0298,complete
CO-0299,complete
CO-0300,complete
CO-0301,complete
CO-0302,complete
CO-0303,complete
CO-0304,complete
CO-0305,complete
CO-0306,complete
CO-0307,complete
CO-0308,complete
CO-0309,complete
CO-0310,complete
CO-0311,complete
CO-0312,complete
CO-0313,complete
CO-0314,complete
CO-0315,complete
CO-0316,complete
CO-0317,complete
CO-0318,complete
CO-0319,complete
CO-0320,complete
CO-0321,complete
CO-0322,complete
CO-0323,complete
