spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,dual_target_pass
CO-0216,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0216,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0217,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0217,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0218,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0218,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0219,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0219,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0220,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0220,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0221,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0221,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0222,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0222,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0223,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0223,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0,0,0,1,206.89926,-0.0671948791673702,0,False
