spec_id,status
CO-0108,complete
CO-0109,complete
CO-0110,complete
CO-0111,complete
CO-0112,complete
CO-0113,complete
CO-0114,complete
CO-0115,complete
CO-0116,complete
CO-0117,complete
CO-0118,complete
CO-0119,complete
CO-0120,complete
CO-0121,complete
CO-0122,complete
CO-0123,complete
CO-0124,complete
CO-0125,complete
CO-0126,complete
CO-0127,complete
CO-0128,complete
CO-0129,complete
CO-0130,complete
CO-0131,complete
CO-0132,complete
CO-0133,complete
CO-0134,complete
CO-0135,complete
CO-0136,complete
CO-0137,complete
CO-0138,complete
CO-0139,complete
CO-0140,complete
CO-0141,complete
CO-0142,complete
CO-0143,complete
CO-0144,complete
CO-0145,complete
CO-0146,complete
CO-0147,complete
CO-0148,complete
CO-0149,complete
CO-0150,complete
CO-0151,complete
CO-0152,complete
CO-0153,complete
CO-0154,complete
CO-0155,complete
CO-0156,complete
CO-0157,complete
CO-0158,complete
CO-0159,complete
CO-0160,complete
CO-0161,complete
CO-0162,complete
CO-0163,complete
CO-0164,complete
CO-0165,complete
CO-0166,complete
CO-0167,complete
CO-0168,complete
CO-0169,complete
CO-0170,complete
CO-0171,complete
CO-0172,complete
CO-0173,complete
CO-0174,complete
CO-0175,complete
CO-0176,complete
CO-0177,complete
CO-0178,complete
CO-0179,complete
CO-0180,complete
CO-0181,complete
CO-0182,complete
CO-0183,complete
CO-0184,complete
CO-0185,complete
CO-0186,complete
CO-0187,complete
CO-0188,complete
CO-0189,complete
CO-0190,complete
CO-0191,complete
CO-0192,complete
CO-0193,complete
CO-0194,complete
CO-0195,complete
CO-0196,complete
CO-0197,complete
CO-0198,complete
CO-0199,complete
CO-0200,complete
CO-0201,complete
CO-0202,complete
CO-0203,complete
CO-0204,complete
CO-0205,complete
CO-0206,complete
CO-0207,complete
CO-0208,complete
CO-0209,complete
CO-0210,complete
CO-0211,complete
CO-0212,complete
CO-0213,complete
CO-0214,complete
CO-0215,complete
