month,minimum_one_contract_margin,beginning_deposit_equity,ending_deposit_equity,required_equity_1_25x,beginning_reachable_1_25x,ending_reachable_1_25x,required_equity_1_5x,beginning_reachable_1_5x,ending_reachable_1_5x,required_equity_2_0x,beginning_reachable_2_0x,ending_reachable_2_0x
202401,186408.0,30000.0,0.0,233010.0,False,False,279612.0,False,False,372816.0,False,False
202402,182412.0,60000.0,30000.0,228015.0,False,False,273618.0,False,False,364824.0,False,False
202403,205800.0,90000.0,60000.0,257250.0,False,False,308700.0,False,False,411600.0,False,False
202404,205056.0,120000.0,90000.0,256320.0,False,False,307584.0,False,False,410112.0,False,False
202405,213240.0,150000.0,120000.0,266550.0,False,False,319860.0,False,False,426480.0,False,False
202406,204360.0,180000.0,150000.0,255450.0,False,False,306540.0,False,False,408720.0,False,False
202407,200544.0,210000.0,180000.0,250680.0,False,False,300816.0,False,False,401088.0,False,False
202408,195600.0,240000.0,210000.0,244500.0,False,False,293400.0,False,False,391200.0,False,False
202409,188316.0,270000.0,240000.0,235395.0,True,True,282474.0,False,False,376632.0,False,False
202410,226812.0,300000.0,270000.0,283515.0,True,False,340218.0,False,False,453624.0,False,False
202411,228420.0,330000.0,300000.0,285525.0,True,True,342630.0,False,False,456840.0,False,False
202412,233292.0,360000.0,330000.0,291615.0,True,True,349938.0,True,False,466584.0,False,False
202501,221520.0,390000.0,360000.0,276900.0,True,True,332280.0,True,True,443040.0,False,False
202502,223668.0,420000.0,390000.0,279585.0,True,True,335502.0,True,True,447336.0,False,False
202503,228300.0,450000.0,420000.0,285375.0,True,True,342450.0,True,True,456600.0,False,False
202504,205764.0,480000.0,450000.0,257205.0,True,True,308646.0,True,True,411528.0,True,True
202505,219444.0,510000.0,480000.0,274305.0,True,True,329166.0,True,True,438888.0,True,True
202506,222300.0,540000.0,510000.0,277875.0,True,True,333450.0,True,True,444600.0,True,True
202507,231036.0,570000.0,540000.0,288795.0,True,True,346554.0,True,True,462072.0,True,True
202508,237108.0,600000.0,570000.0,296385.0,True,True,355662.0,True,True,474216.0,True,True
202509,258156.0,630000.0,600000.0,322695.0,True,True,387234.0,True,True,516312.0,True,True
202510,268116.0,660000.0,630000.0,335145.0,True,True,402174.0,True,True,536232.0,True,True
202511,262452.0,690000.0,660000.0,328065.0,True,True,393678.0,True,True,524904.0,True,True
202512,264900.0,720000.0,690000.0,331125.0,True,True,397350.0,True,True,529800.0,True,True
