spec_id,status
CO-0000,complete
CO-0001,complete
CO-0002,complete
CO-0003,complete
CO-0004,complete
CO-0005,complete
CO-0006,complete
CO-0007,complete
CO-0008,complete
CO-0009,complete
CO-0010,complete
CO-0011,complete
CO-0012,complete
CO-0013,complete
CO-0014,complete
CO-0015,complete
CO-0016,complete
CO-0017,complete
CO-0018,complete
CO-0019,complete
CO-0020,complete
CO-0021,complete
CO-0022,complete
CO-0023,complete
CO-0024,complete
CO-0025,complete
CO-0026,complete
CO-0027,complete
CO-0028,complete
CO-0029,complete
CO-0030,complete
CO-0031,complete
CO-0032,complete
CO-0033,complete
CO-0034,complete
CO-0035,complete
CO-0036,complete
CO-0037,complete
CO-0038,complete
CO-0039,complete
CO-0040,complete
CO-0041,complete
CO-0042,complete
CO-0043,complete
CO-0044,complete
CO-0045,complete
CO-0046,complete
CO-0047,complete
CO-0048,complete
CO-0049,complete
CO-0050,complete
CO-0051,complete
CO-0052,complete
CO-0053,complete
CO-0054,complete
CO-0055,complete
CO-0056,complete
CO-0057,complete
CO-0058,complete
CO-0059,complete
CO-0060,complete
CO-0061,complete
CO-0062,complete
CO-0063,complete
CO-0064,complete
CO-0065,complete
CO-0066,complete
CO-0067,complete
CO-0068,complete
CO-0069,complete
CO-0070,complete
CO-0071,complete
CO-0072,complete
CO-0073,complete
CO-0074,complete
CO-0075,complete
CO-0076,complete
CO-0077,complete
CO-0078,complete
CO-0079,complete
CO-0080,complete
CO-0081,complete
CO-0082,complete
CO-0083,complete
CO-0084,complete
CO-0085,complete
CO-0086,complete
CO-0087,complete
CO-0088,complete
CO-0089,complete
CO-0090,complete
CO-0091,complete
CO-0092,complete
CO-0093,complete
CO-0094,complete
CO-0095,complete
CO-0096,complete
CO-0097,complete
CO-0098,complete
CO-0099,complete
CO-0100,complete
CO-0101,complete
CO-0102,complete
CO-0103,complete
CO-0104,complete
CO-0105,complete
CO-0106,complete
CO-0107,complete
