spec_id,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,valid,overlay_executed,dual_target_pass
CO-0000,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0001,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0002,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0003,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0004,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0005,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0006,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0007,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0008,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0009,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0010,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0011,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0012,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0013,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0014,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0015,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0016,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0017,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0018,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0019,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0020,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0021,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0022,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0023,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0024,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0025,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0026,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0027,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0028,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0029,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0030,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0031,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0032,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0033,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0034,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0035,,0.0,413965.72996,861023.9219200001,1366.3000000000147,0.0,0,0,0,1,215.92203,-0.1142972545349184,0,True,False,False
CO-0036,2025-11,0.0,416285.22687,844152.21325,-2707.099999999992,-18066.00000000008,0,0,2,1,215.84421,-0.114462475022156,0,True,True,False
CO-0037,2025-11,0.0,416285.22687,844152.21325,-2707.099999999992,-18066.00000000008,0,0,2,1,215.84421,-0.114462475022156,0,True,True,False
CO-0038,2025-11,0.0,416285.22687,844152.21325,-2707.099999999992,-18066.00000000008,0,0,2,1,215.84421,-0.114462475022156,0,True,True,False
CO-0039,2025-11,0.0,416285.22687,844152.21325,-2707.099999999992,-18066.00000000008,0,0,2,1,215.84421,-0.114462475022156,0,True,True,False
CO-0040,2025-11,0.0,416285.22687,844120.21325,-2707.099999999992,-15606.000000000133,0,0,4,1,222.78675,-0.114462475022156,0,True,True,False
CO-0041,2025-11,0.0,416285.22687,844120.21325,-2707.099999999992,-15606.000000000133,0,0,4,1,222.78675,-0.114462475022156,0,True,True,False
CO-0042,2025-11,0.0,416285.22687,844120.21325,-2707.099999999992,-15606.000000000133,0,0,4,1,222.78675,-0.114462475022156,0,True,True,False
CO-0043,2025-11,0.0,416285.22687,844120.21325,-2707.099999999992,-15606.000000000133,0,0,4,1,222.78675,-0.114462475022156,0,True,True,False
CO-0044,2025-11,0.0,416285.22687,844088.21325,-2707.099999999992,-25806.00000000013,0,0,6,1,254.78675,-0.114462475022156,0,True,True,False
CO-0045,2025-11,0.0,416285.22687,844088.21325,-2707.099999999992,-25806.00000000013,0,0,6,1,254.78675,-0.114462475022156,0,True,True,False
