spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,dual_target_pass
CO-0324,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0324,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0325,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0325,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0326,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0326,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0327,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0327,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0328,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0328,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0329,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0329,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0330,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0330,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0331,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0331,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0332,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0332,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0333,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0333,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0334,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0334,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0335,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0335,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,208,51,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0336,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0336,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0337,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0337,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0338,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0338,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0339,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0339,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0340,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0340,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0341,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0341,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0342,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0342,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0343,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0343,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0344,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0344,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
CO-0345,beginning,,0.0,417886.95793,870718.1979100001,-2513.6999999999725,0.0,0.0,0.0,0.0,186,73,0,1,0,0,0,0,0,0,1,215.80209,-0.1143251521584195,0,False
CO-0345,ending,,0.0,414653.1032,860002.70074,-2090.9999999999736,0.0,0.0,0.0,0.0,180,79,0,1,0,0,0,0,0,0,1,206.89926,-0.0671948791673702,0,False
