spec_id,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,margin_calls,forced_liquidations,rolls,limit_rejects,fees,max_drawdown,asset_identity_failures,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,valid,overlay_executed,dual_target_pass
CO-0324,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0325,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0326,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0327,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0328,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0329,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0330,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0331,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0332,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0333,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0334,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0335,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,416,102,0,2,0,0,0,True,False,False
CO-0336,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,366,152,0,2,0,0,0,True,False,False
CO-0337,,0.0,414653.1032,860002.70074,-2513.6999999999725,0.0,0.0,0.0,0.0,0,0,0,1,215.80209,-0.1143251521584195,0,366,152,0,2,0,0,0,True,False,False
