Warning: truncated output (original token count: 70103)
Total output lines: 1297

spec_id,family,parameters,strict_eligible
CO-0000,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0}",False
CO-0001,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
CO-0002,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0}",False
CO-0003,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
CO-0004,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0}",False
CO-0005,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
CO-0006,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0}",False
CO-0007,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
CO-0008,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0}",False
CO-0009,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
CO-0010,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0}",False
CO-0011,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
CO-0012,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0}",False
CO-0013,510300_dca__IH,"{""etf_baseline"":""510300_dca"",""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
