month,reason,count
202402,nav_multiple_gate,620
202403,nav_multiple_gate,1240
202404,nav_multiple_gate,496
202405,nav_multiple_gate,1116
202407,nav_multiple_gate,310
202408,nav_multiple_gate,62
202409,free_cash_insufficient,120
202409,nav_multiple_gate,190
202410,free_cash_insufficient,152
202410,limit_price,62
202410,nav_multiple_gate,650
202411,free_cash_insufficient,52
202411,nav_multiple_gate,408
202412,free_cash_insufficient,112
202412,nav_multiple_gate,126
202502,free_cash_insufficient,544
202503,free_cash_insufficient,34
202505,free_cash_insufficient,578
202506,free_cash_insufficient,154
202507,free_cash_insufficient,410
202508,free_cash_insufficient,34
