spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,monthly_reject_json,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,u3_codes_traded,dual_target_pass
CO-0540,beginning,2024-10,0.0555555555555555,389831.73840000015,798214.3685600002,10951.59999999997,-89441.99999999981,251280.0,80203.59587628866,0.9001297951056181,80,72,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":10,""free_cash_insufficient"":1},""202411"":{""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,936.43144,-0.2876959746566551,9,"510050,510300,510500",False
CO-0540,ending,2024-10,0.0476190476190476,365945.54564,771237.6706999999,15976.699999999972,-137574.00000000012,251280.0,144219.3649484536,0.913572083579256,5,74,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":1}}",0,0,3,479.12930000000006,-0.2816751278751421,0,"510050,510300,510500",False
CO-0541,beginning,2024-10,0.0555555555555555,389831.73840000015,798214.3685600002,10951.59999999997,-89441.99999999981,251280.0,80203.59587628866,0.9001297951056181,80,72,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":10,""free_cash_insufficient"":1},""202411"":{""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,936.43144,-0.2876959746566551,9,"510050,510300,510500",False
CO-0541,ending,2024-10,0.0476190476190476,365945.54564,771237.6706999999,15976.699999999972,-137574.00000000012,251280.0,144219.3649484536,0.913572083579256,5,74,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":1}}",0,0,3,479.12930000000006,-0.2816751278751421,0,"510050,510300,510500",False
CO-0542,beginning,2024-10,0.0555555555555555,389831.73840000015,798214.3685600002,10951.59999999997,-89441.99999999981,251280.0,80203.59587628866,0.9001297951056181,80,72,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":10,""free_cash_insufficient"":1},""202411"":{""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,936.43144,-0.2876959746566551,9,"510050,510300,510500",False
CO-0542,ending,2024-10,0.0476190476190476,365945.54564,771237.6706999999,15976.699999999972,-137574.00000000012,251280.0,144219.3649484536,0.913572083579256,5,74,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":1}}",0,0,3,479.12930000000006,-0.2816751278751421,0,"510050,510300,510500",False
CO-0543,beginning,2024-10,0.0555555555555555,389831.73840000015,798214.3685600002,10951.59999999997,-89441.99999999981,251280.0,80203.59587628866,0.9001297951056181,80,72,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":10,""free_cash_insufficient"":1},""202411"":{""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":7},""202502"":{""free_cash_insufficient"":16},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":9},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,8,936.43144,-0.2876959746566551,9,"510050,510300,510500",False
CO-0543,ending,2024-10,0.0476190476190476,365945.54564,771237.6706999999,15976.699999999972,-137574.00000000012,251280.0,144219.3649484536,0.913572083579256,5,74,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""nav_multiple_gate"":11},""202411"":{""nav_multiple_gate"":1}}",0,0,3,479.12930000000006,-0.2816751278751421,0,"510050,510300,510500",False
CO-0544,beginning,2024-10,0.0689655172413793,439157.54115,872942.5026700001,15733.799999999972,-66534.0000000002,251280.0,144560.85773195876,0.8493673031320644,18,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":13}}",0,0,5,570.0973299999998,-0.2451250783719891,1,"510050,510300,510500",False
CO-0544,ending,2024-10,0.0547945205479452,384628.3069999999,799200.8711399998,15773.399999999974,-80724.00000000012,251280.0,141666.87835051547,0.8624906538014148,6,62,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":10},""202403"":{""nav_multiple_gate"":20},""202404"":{""nav_multiple_gate"":8},""202405"":{""nav_multiple_gate"":18},""202407"":{""nav_multiple_gate"":5},""202408"":{""nav_multiple_gate"":1},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":1}}",0,0,3,481.72886,-0.2391319868551222,0,"510050,510300,510500",False
