spec_id,status
CO-0432,complete
CO-0433,complete
CO-0434,complete
CO-0435,complete
CO-0436,complete
CO-0437,complete
CO-0438,complete
CO-0439,complete
CO-0440,complete
CO-0441,complete
CO-0442,complete
CO-0443,complete
CO-0444,complete
CO-0445,complete
CO-0446,complete
CO-0447,complete
CO-0448,complete
CO-0449,complete
CO-0450,complete
CO-0451,complete
CO-0452,complete
CO-0453,complete
CO-0454,complete
CO-0455,complete
CO-0456,complete
CO-0457,complete
CO-0458,complete
CO-0459,complete
CO-0460,complete
CO-0461,complete
CO-0462,complete
CO-0463,complete
CO-0464,complete
CO-0465,complete
CO-0466,complete
CO-0467,complete
CO-0468,complete
CO-0469,complete
CO-0470,complete
CO-0471,complete
CO-0472,complete
CO-0473,complete
CO-0474,complete
CO-0475,complete
CO-0476,complete
CO-0477,complete
CO-0478,complete
CO-0479,complete
CO-0480,complete
CO-0481,complete
CO-0482,complete
CO-0483,complete
CO-0484,complete
CO-0485,complete
CO-0486,complete
CO-0487,complete
CO-0488,complete
CO-0489,complete
CO-0490,complete
CO-0491,complete
CO-0492,complete
CO-0493,complete
CO-0494,complete
CO-0495,complete
CO-0496,complete
CO-0497,complete
CO-0498,complete
CO-0499,complete
CO-0500,complete
CO-0501,complete
CO-0502,complete
CO-0503,complete
CO-0504,complete
CO-0505,complete
CO-0506,complete
CO-0507,complete
CO-0508,complete
CO-0509,complete
CO-0510,complete
CO-0511,complete
CO-0512,complete
CO-0513,complete
CO-0514,complete
CO-0515,complete
CO-0516,complete
CO-0517,complete
CO-0518,complete
CO-0519,complete
CO-0520,complete
CO-0521,complete
CO-0522,complete
CO-0523,complete
CO-0524,complete
CO-0525,complete
CO-0526,complete
CO-0527,complete
CO-0528,complete
CO-0529,complete
CO-0530,complete
CO-0531,complete
CO-0532,complete
CO-0533,complete
CO-0534,complete
CO-0535,complete
CO-0536,complete
CO-0537,complete
CO-0538,complete
CO-0539,complete
