month,reason,count
202402,nav_multiple_gate,864
202403,nav_multiple_gate,1368
202404,nav_multiple_gate,1584
202405,nav_multiple_gate,2256
202406,nav_multiple_gate,132
202407,free_cash_insufficient,492
202407,nav_multiple_gate,540
202408,free_cash_insufficient,96
202408,nav_multiple_gate,48
202409,free_cash_insufficient,432
202409,nav_multiple_gate,120
202410,free_cash_insufficient,480
202410,limit_price,120
202412,free_cash_insufficient,160
202502,free_cash_insufficient,300
202503,free_cash_insufficient,20
202505,free_cash_insufficient,340
202506,free_cash_insufficient,116
202507,free_cash_insufficient,164
202508,free_cash_insufficient,12
