spec_id,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other
CO-0432,107,118,0,2,0,0,0
CO-0433,107,118,0,2,0,0,0
CO-0434,107,118,0,2,0,0,0
CO-0435,107,118,0,2,0,0,0
CO-0436,97,118,0,2,0,0,0
CO-0437,97,118,0,2,0,0,0
CO-0438,97,118,0,2,0,0,0
CO-0439,97,118,0,2,0,0,0
CO-0440,108,118,0,2,0,0,0
CO-0441,108,118,0,2,0,0,0
CO-0442,108,118,0,2,0,0,0
CO-0443,108,118,0,2,0,0,0
CO-0444,15,140,0,2,0,0,0
CO-0445,15,140,0,2,0,0,0
CO-0446,15,140,0,2,0,0,0
CO-0447,15,140,0,2,0,0,0
CO-0448,75,140,0,2,0,0,0
CO-0449,75,140,0,2,0,0,0
CO-0450,75,140,0,2,0,0,0
CO-0451,75,140,0,2,0,0,0
CO-0452,86,140,0,2,0,0,0
CO-0453,86,140,0,2,0,0,0
CO-0454,86,140,0,2,0,0,0
CO-0455,86,140,0,2,0,0,0
CO-0456,0,154,0,2,0,0,0
CO-0457,0,154,0,2,0,0,0
CO-0458,0,154,0,2,0,0,0
CO-0459,0,154,0,2,0,0,0
CO-0460,0,154,0,2,0,0,0
CO-0461,0,154,0,2,0,0,0
CO-0462,0,154,0,2,0,0,0
CO-0463,0,154,0,2,0,0,0
CO-0464,0,154,0,2,0,0,0
CO-0465,0,154,0,2,0,0,0
CO-0466,0,154,0,2,0,0,0
CO-0467,0,154,0,2,0,0,0
CO-0468,29,77,0,2,0,0,0
CO-0469,29,77,0,2,0,0,0
CO-0470,29,77,0,2,0,0,0
CO-0471,29,77,0,2,0,0,0
CO-0472,30,77,0,2,0,0,0
CO-0473,30,77,0,2,0,0,0
CO-0474,30,77,0,2,0,0,0
CO-0475,30,77,0,2,0,0,0
CO-0476,30,77,0,2,0,0,0
CO-0477,30,77,0,2,0,0,0
CO-0478,30,77,0,2,0,0,0
CO-0479,30,77,0,2,0,0,0
CO-0480,18,87,0,2,0,0,0
CO-0481,18,87,0,2,0,0,0
CO-0482,18,87,0,2,0,0,0
CO-0483,18,87,0,2,0,0,0
CO-0484,29,87,0,2,0,0,0
CO-0485,29,87,0,2,0,0,0
CO-0486,29,87,0,2,0,0,0
CO-0487,29,87,0,2,0,0,0
CO-0488,29,87,0,2,0,0,0
CO-0489,29,87,0,2,0,0,0
CO-0490,29,87,0,2,0,0,0
CO-0491,29,87,0,2,0,0,0
