spec_id,deposit_timing,first_feasible_month,feasible_date_rate,W12,W24,etf_pnl,futures_pnl,margin_peak,margin_mean,margin_to_nav_peak,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,monthly_reject_json,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,u3_codes_traded,dual_target_pass
CO-0432,beginning,2024-10,0.0628930817610062,418355.19685,857785.1607100001,13342.099999999984,-52859.99999999982,169380.0,52382.894845360825,0.5371821254190245,89,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":11},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":7},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,9,675.03929,-0.1747337246869734,1,"510050,510300,510500",False
CO-0432,ending,2024-10,0.037037037037037,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,168432.0,98112.8412371134,0.5420897337084265,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,324.92485000000005,-0.1623937993131713,0,"510050,510300,510500",False
CO-0433,beginning,2024-10,0.0628930817610062,418355.19685,857785.1607100001,13342.099999999984,-52859.99999999982,169380.0,52382.894845360825,0.5371821254190245,89,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":11},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":7},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,9,675.03929,-0.1747337246869734,1,"510050,510300,510500",False
CO-0433,ending,2024-10,0.037037037037037,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,168432.0,98112.8412371134,0.5420897337084265,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,324.92485000000005,-0.1623937993131713,0,"510050,510300,510500",False
CO-0434,beginning,2024-10,0.0628930817610062,418355.19685,857785.1607100001,13342.099999999984,-52859.99999999982,169380.0,52382.894845360825,0.5371821254190245,89,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":11},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":7},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,9,675.03929,-0.1747337246869734,1,"510050,510300,510500",False
CO-0434,ending,2024-10,0.037037037037037,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,168432.0,98112.8412371134,0.5420897337084265,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,324.92485000000005,-0.1623937993131713,0,"510050,510300,510500",False
CO-0435,beginning,2024-10,0.0628930817610062,418355.19685,857785.1607100001,13342.099999999984,-52859.99999999982,169380.0,52382.894845360825,0.5371821254190245,89,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":11},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":7},""202507"":{""free_cash_insufficient"":11},""202508"":{""free_cash_insufficient"":1}}",1,1,9,675.03929,-0.1747337246869734,1,"510050,510300,510500",False
CO-0435,ending,2024-10,0.037037037037037,385737.08866000007,820009.6751500001,11146.59999999998,-57050.99999999988,168432.0,98112.8412371134,0.5420897337084265,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,2,324.92485000000005,-0.1623937993131713,0,"510050,510300,510500",False
CO-0436,beginning,2024-10,0.1032258064516129,405920.97398,826211.7225700002,12792.699999999992,-83982.00000000015,168432.0,55033.92989690722,0.5219491682494061,79,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1,""free_cash_insufficient"":12},""202412"":{""free_cash_insufficient"":8},""202502"":{""free_cash_insufficient"":15},""202503"":{""free_cash_insufficient"":1},""202505"":{""free_cash_insufficient"":17},""202506"":{""free_cash_insufficient"":8}}",1,1,15,759.27743,-0.1866129193743683,1,"510050,510300,510500",False
CO-0436,ending,2024-10,0.0602409638554216,385709.59001,819982.1765000001,11160.09999999998,-61850.99999999988,168432.0,98078.17731958764,0.5272104955729277,18,59,0,1,0,0,0,"{""202402"":{""nav_multiple_gate"":12},""202403"":{""nav_multiple_gate"":19},""202404"":{""nav_multiple_gate"":10},""202405"":{""nav_multiple_gate"":18},""202407"":{""free_cash_insufficient"":11},""202408"":{""free_cash_insufficient"":2},""202409"":{""free_cash_insufficient"":5},""202410"":{""limit_price"":1}}",0,0,4,356.92349999999993,-0.1624825284879287,0,"510050,510300,510500",False
