spec_id,W12,W24,etf_pnl,futures_pnl,first_feasible_month,feasible_date_rate,margin_peak,margin_mean,margin_to_nav_peak,margin_calls,forced_liquidations,rolls,fees,max_drawdown,asset_identity_failures,reject_free_cash_insufficient,reject_nav_multiple_gate,reject_prior_day_volume,reject_limit_price,reject_contract_unavailable,reject_expiry_roll_unavailable,reject_other,valid,overlay_executed,dual_target_pass
CO-0492,410751.28784000006,851957.34013,20333.399999999976,-57050.99999999988,2024-10,0.0535714285714285,168432.0,98112.8412371134,0.4963018068300516,0,0,2,474.9086499999999,-0.1512730001940722,0,4,100,0,2,0,0,0,True,True,False
CO-0493,410751.28784000006,851957.34013,20333.399999999976,-57050.99999999988,2024-10,0.0535714285714285,168432.0,98112.8412371134,0.4963018068300516,0,0,2,474.9086499999999,-0.1512730001940722,0,4,100,0,2,0,0,0,True,True,False
CO-0494,410751.28784000006,851957.34013,20333.399999999976,-57050.99999999988,2024-10,0.0535714285714285,168432.0,98112.8412371134,0.4963018068300516,0,0,2,474.9086499999999,-0.1512730001940722,0,4,100,0,2,0,0,0,True,True,False
CO-0495,410751.28784000006,851957.34013,20333.399999999976,-57050.99999999988,2024-10,0.0535714285714285,168432.0,98112.8412371134,0.4963018068300516,0,0,2,474.9086499999999,-0.1512730001940722,0,4,100,0,2,0,0,0,True,True,False
CO-0496,410719.2878400002,851896.7341900001,20336.99999999997,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.4853190885385364,0,0,4,506.90781,-0.1513536384052122,0,4,100,0,2,0,0,0,True,True,False
CO-0497,410719.2878400002,851896.7341900001,20336.99999999997,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.4853190885385364,0,0,4,506.90781,-0.1513536384052122,0,4,100,0,2,0,0,0,True,True,False
CO-0498,410719.2878400002,851896.7341900001,20336.99999999997,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.4853190885385364,0,0,4,506.90781,-0.1513536384052122,0,4,100,0,2,0,0,0,True,True,False
CO-0499,410719.2878400002,851896.7341900001,20336.99999999997,-61850.99999999988,2024-10,0.0862068965517241,168432.0,98078.17731958764,0.4853190885385364,0,0,4,506.90781,-0.1513536384052122,0,4,100,0,2,0,0,0,True,True,False
CO-0500,410684.9871500002,851769.0010000002,20328.09999999998,-77750.99999999988,2024-10,0.1166666666666666,168432.0,98057.19587628866,0.4777141343647293,0,0,6,538.9078099999998,-0.1514342766163523,0,4,100,0,2,0,0,0,True,True,False
CO-0501,410684.9871500002,851769.0010000002,20328.09999999998,-77750.99999999988,2024-10,0.1166666666666666,168432.0,98057.19587628866,0.4777141343647293,0,0,6,538.9078099999998,-0.1514342766163523,0,4,100,0,2,0,0,0,True,True,False
CO-0502,410684.9871500002,851769.0010000002,20328.09999999998,-77750.99999999988,2024-10,0.1166666666666666,168432.0,98057.19587628866,0.4777141343647293,0,0,6,538.9078099999998,-0.1514342766163523,0,4,100,0,2,0,0,0,True,True,False
CO-0503,410684.9871500002,851769.0010000002,20328.09999999998,-77750.99999999988,2024-10,0.1166666666666666,168432.0,98057.19587628866,0.4777141343647293,0,0,6,538.9078099999998,-0.1514342766163523,0,4,100,0,2,0,0,0,True,True,False
