month,reason,count
202402,nav_multiple_gate,864
202403,nav_multiple_gate,1368
202404,nav_multiple_gate,2016
202405,nav_multiple_gate,2736
202406,nav_multiple_gate,252
202407,free_cash_insufficient,972
202407,nav_multiple_gate,1620
202408,free_cash_insufficient,140
202408,nav_multiple_gate,228
202409,free_cash_insufficient,660
202409,nav_multiple_gate,204
202410,free_cash_insufficient,720
202410,limit_price,216
202412,free_cash_insufficient,160
202502,free_cash_insufficient,300
202503,free_cash_insufficient,20
202505,free_cash_insufficient,340
202506,free_cash_insufficient,116
202507,free_cash_insufficient,164
202508,free_cash_insufficient,12
