spec_id,deposit_timing,month,reason,count
CO-0432,beginning,202402,nav_multiple_gate,12
CO-0432,beginning,202403,nav_multiple_gate,19
CO-0432,beginning,202404,nav_multiple_gate,10
CO-0432,beginning,202405,nav_multiple_gate,18
CO-0432,beginning,202407,free_cash_insufficient,11
CO-0432,beginning,202408,free_cash_insufficient,2
CO-0432,beginning,202409,free_cash_insufficient,5
CO-0432,beginning,202410,limit_price,1
CO-0432,beginning,202410,free_cash_insufficient,11
CO-0432,beginning,202412,free_cash_insufficient,8
CO-0432,beginning,202502,free_cash_insufficient,15
CO-0432,beginning,202503,free_cash_insufficient,1
CO-0432,beginning,202505,free_cash_insufficient,17
CO-0432,beginning,202506,free_cash_insufficient,7
CO-0432,beginning,202507,free_cash_insufficient,11
CO-0432,beginning,202508,free_cash_insufficient,1
CO-0432,ending,202402,nav_multiple_gate,12
CO-0432,ending,202403,nav_multiple_gate,19
CO-0432,ending,202404,nav_multiple_gate,10
CO-0432,ending,202405,nav_multiple_gate,18
CO-0432,ending,202407,free_cash_insufficient,11
CO-0432,ending,202408,free_cash_insufficient,2
CO-0432,ending,202409,free_cash_insufficient,5
CO-0432,ending,202410,limit_price,1
CO-0433,beginning,202402,nav_multiple_gate,12
CO-0433,beginning,202403,nav_multiple_gate,19
CO-0433,beginning,202404,nav_multiple_gate,10
CO-0433,beginning,202405,nav_multiple_gate,18
CO-0433,beginning,202407,free_cash_insufficient,11
CO-0433,beginning,202408,free_cash_insufficient,2
CO-0433,beginning,202409,free_cash_insufficient,5
CO-0433,beginning,202410,limit_price,1
CO-0433,beginning,202410,free_cash_insufficient,11
CO-0433,beginning,202412,free_cash_insufficient,8
CO-0433,beginning,202502,free_cash_insufficient,15
CO-0433,beginning,202503,free_cash_insufficient,1
CO-0433,beginning,202505,free_cash_insufficient,17
CO-0433,beginning,202506,free_cash_insufficient,7
CO-0433,beginning,202507,free_cash_insufficient,11
CO-0433,beginning,202508,free_cash_insufficient,1
