Warning: truncated output (original token count: 66810)
Total output lines: 1365

spec_id,family,parameters,strict_eligible
O1_risk_on_call-000,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-001,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-002,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-003,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.03}",False
O1_risk_on_call-004,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.05}",False
O1_risk_on_call-005,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-006,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-007,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-008,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.03}",False
O1_risk_on_call-009,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": -0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.05}",False
O1_risk_on_call-010,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 5, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-011,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 5, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-012,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 5, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-013,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 5, ""budget_pct_nav"": 0.03}",False
O1_risk_on_call-014,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 5, ""budget_pct_nav"": 0.05}",False
O1_risk_on_call-015,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 20, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-016,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 20, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-017,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 20, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-018,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 20, ""budget_pct_nav"": 0.03}",False
O1_risk_on_call-019,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0, ""holding_days"": 20, ""budget_pct_nav"": 0.05}",False
O1_risk_on_call-020,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-021,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-022,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-023,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.03}",False
O1_risk_on_call-024,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.05}",False
O1_risk_on_call-025,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-026,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-027,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-028,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.03}",False
O1_risk_on_call-029,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [20, 40], ""moneyness"": 0.05, ""holding_days"": 20, ""budget_pct_nav"": 0.05}",False
O1_risk_on_call-030,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [40, 70], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.005}",False
O1_risk_on_call-031,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [40, 70], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.01}",False
O1_risk_on_call-032,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [40, 70], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.02}",False
O1_risk_on_call-033,O1_risk_on_call,"{""product"": ""IO"", ""dte_window"": [40, 70], ""moneyness"": -0.05, ""holding_days"": 5, ""budget_pct_nav"": 0.03}",False
