spec_id,family,deposit_timing,W12,W24,max_drawdown,infeasible_rate,attempts,costs,margin_calls,asset_identity_failures,evidence_tier,sample_size_gate,dual_target_pass
O1_risk_on_call-000,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-000,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-001,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-001,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-002,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-002,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-003,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-003,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-004,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-004,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-005,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-005,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-006,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-006,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-007,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-007,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-008,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-008,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-009,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-009,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-010,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-010,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-011,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-011,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-012,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-012,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-013,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-013,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-014,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-014,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-015,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-015,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-016,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-016,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-017,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-017,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-018,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-018,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-019,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-019,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-020,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-020,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-021,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-021,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-022,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-022,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-023,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-023,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-024,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-024,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-025,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-025,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-026,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-026,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-027,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-027,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-028,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-028,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-029,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-029,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-030,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-030,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-031,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-031,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-032,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-032,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-033,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-033,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-034,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-034,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-035,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-035,O1_risk_on_call,ending,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
O1_risk_on_call-036,O1_risk_on_call,beginning,390000.0,720000.0,0.0,1.0,248,0.0,0,0,free_real_approx_daily_open_no_quotes,False,False
