spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
O3_drawdown_protective_put-000,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-001,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-002,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-003,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-004,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-005,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-006,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-007,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-008,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-009,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-010,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-011,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-012,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-013,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-014,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-015,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-016,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-017,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-018,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-019,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-020,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-021,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-022,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-023,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-024,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-025,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-026,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-027,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-028,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-029,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-030,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-031,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-032,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-033,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-034,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-035,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-036,390000.0,720000.0,0.0,1.0,0.0,0.4
O3_drawdown_protective_put-037,390000.0,720000.0,0.0,1.0,0.0,0.4
