product,dte_window,moneyness,budget_pct_nav,paths,infeasible_rate,W12,W24,margin_calls
HO,"[20, 40]",0.0,0.005,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.0,0.01,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.0,0.02,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.0,0.03,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.0,0.05,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.05,0.005,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.05,0.01,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.05,0.02,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.05,0.03,8,1.0,390000.0,720000.0,0
HO,"[20, 40]",0.05,0.05,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.0,0.005,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.0,0.01,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.0,0.02,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.0,0.03,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.0,0.05,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.05,0.005,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.05,0.01,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.05,0.02,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.05,0.03,8,1.0,390000.0,720000.0,0
HO,"[40, 70]",0.05,0.05,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.0,0.005,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.0,0.01,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.0,0.02,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.0,0.03,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.0,0.05,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.05,0.005,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.05,0.01,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.05,0.02,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.05,0.03,8,1.0,390000.0,720000.0,0
IO,"[20, 40]",0.05,0.05,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.0,0.005,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.0,0.01,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.0,0.02,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.0,0.03,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.0,0.05,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.05,0.005,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.05,0.01,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.05,0.02,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.05,0.03,8,1.0,390000.0,720000.0,0
IO,"[40, 70]",0.05,0.05,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.0,0.005,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.0,0.01,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.0,0.02,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.0,0.03,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.0,0.05,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.05,0.005,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.05,0.01,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.05,0.02,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.05,0.03,8,1.0,390000.0,720000.0,0
MO,"[20, 40]",0.05,0.05,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.0,0.005,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.0,0.01,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.0,0.02,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.0,0.03,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.0,0.05,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.05,0.005,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.05,0.01,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.05,0.02,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.05,0.03,8,1.0,390000.0,720000.0,0
MO,"[40, 70]",0.05,0.05,8,1.0,390000.0,720000.0,0
