spec_id,W12,W24,max_drawdown,infeasible_rate,costs,distance
O4_vol_long_straddle-000,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-001,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-002,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-003,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-004,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-005,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-006,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-007,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-008,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-009,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-010,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-011,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-012,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-013,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-014,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-015,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-016,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-017,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-018,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-019,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-020,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-021,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-022,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-023,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-024,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-025,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-026,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-027,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-028,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-029,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-030,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-031,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-032,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-033,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-034,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-035,390000.0,720000.0,0.0,1.0,0.0,0.4
O4_vol_long_straddle-036,390000.0,720000.0,0.0,1.0,0.0,0.4
