strategy,worst_w12,worst_w24,max_drawdown,unexecutable_rate,fees,turnover,sample_windows,p5_w24,passes_targets,sample_size_gate_passed,asset_identity_passed,passes_strict_gate,blocking_reason,top_k,momentum_window,absolute_trend_window,fallback,holding_days,gap12,gap24,max_relative_gap,selection_rank
B047,389145.56442,892702.6676299999,0.0579856702842085,0.0268041237113402,4337.93744,6171497.400000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,20,120,510050,20,0.22170887116,0.2560811103083334,0.2560811103083334,1
B043,387059.39191000006,875933.2180899999,0.0788261576475002,0.0206185567010309,5794.44543,8252590.299999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,20,60,510050,20,0.22588121617999987,0.2700556515916668,0.2700556515916668,2
B037,377502.91714000015,871726.7159799999,0.0742048618358047,0.0144329896907216,6032.21666,8604359.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,20,20,cash,20,0.2449941657199997,0.2735610700166668,0.2735610700166668,3
B058,391494.12777,871666.86282,0.0718307477287577,0.1051546391752577,6726.8459600000015,9354132.500000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,60,120,510050,5,0.21701174445999996,0.27361094765,0.27361094765,4
B050,388109.4715600001,869599.99396,0.0594847406867246,0.1051546391752577,12324.102740000006,17404424.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,60,20,510050,5,0.2237810568799998,0.2753333383666667,0.2753333383666667,5
B046,398164.23506,864500.7440599999,0.0718024272805373,0.1154639175257732,9795.602900000002,13783685.9,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,20,120,510050,5,0.20367152988000004,0.2795827132833334,0.2795827132833334,6
B011,391590.6878500001,852574.8171500001,0.1089604607773477,0.0309278350515463,3328.5419,4748401.2,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,1,20,120,510050,20,0.2168186242999998,0.28952098570833323,0.28952098570833323,7
B070,389807.45434,844090.70182,0.0718393979221916,0.111340206185567,6606.69732,9201446.0,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,120,120,510050,5,0.22038509132,0.2965910818166667,0.2965910818166667,8
B045,360005.8894,841182.74168,0.0578091011800179,0.0206185567010309,4045.558320000001,5760763.0,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,20,120,cash,20,0.27998822120000005,0.29901438193333335,0.29901438193333335,9
B042,385201.92815,839520.35046,0.0797120013909967,0.111340206185567,8892.749539999999,12489531.9,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required,2,20,60,510050,5,0.2295961437,0.30039970795,0.30039970795,10
