event_id,code,event_type,announcement_date,record_date,ex_date,pay_date,cash_per_10,cash_per_share,share_factor,source_url,pdf_sha256,evidence_tier
510050-20131114-cash,510050,cash_dividend,2013-11-11,2013-11-14,2013-11-15,2013-11-20,0.53,0.053000000000000005,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2013-11-10/510050_20131111_1.pdf,7b311cfbcd4bc4822a59f5a754652fe0b246883a3bd3061cca70fa3910f9d7f4,official_sse_pdf
510300-20140120-cash,510300,cash_dividend,2014-01-15,2014-01-20,2014-01-21,2014-01-27,0.48,0.048,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-01-14/510300_20140115_1.pdf,3c74e29e7ddac830b7181748b0eb00ddafcf8a72bd9d07ab2c88550ffb91cb44,official_sse_pdf
510050-20141114-cash,510050,cash_dividend,2014-11-11,2014-11-14,2014-11-17,2014-11-20,0.43,0.043,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2014-11-10/510050_20141111_1.pdf,9ce3cad5d85a2fd4cabb93795aad25e99f05bcf7c238da1a37d0c6e6aaeab253,official_sse_pdf
510300-20150119-cash,510300,cash_dividend,2015-01-14,2015-01-19,2015-01-20,2015-01-23,0.35,0.034999999999999996,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-01-13/510300_20150114_1.pdf,1edb820f5efe41a0f28f7bd05dfdaf454e0dde97894a4101f6b9570c1b2bf3db,official_sse_pdf
510500-20150414-share-factor,510500,share_factor,2015-04-15,2015-04-13,2015-04-14,2015-04-14,0.0,0.0,0.28032483,https://www.sse.com.cn/disclosure/fund/announcement/c/2015-04-15/510500_20150415_2.pdf,06310b956450a62386b0ecf4b69eba21777ccf37eae8f3a98d0e3a9a53f2f2b5,official_sse_pdf
510300-20160119-cash,510300,cash_dividend,2016-01-14,2016-01-19,2016-01-20,2016-01-25,0.51,0.051000000000000004,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2016-01-14/510300_20160114_1.pdf,d8db54b96a9e4fffd77ce98d0d4702e4b4601887e48ed738785d7f661b530759,official_sse_pdf
510050-20161128-cash,510050,cash_dividend,2016-11-11,2016-11-28,2016-11-29,2016-12-02,0.53,0.053000000000000005,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2016-11-10/510050_20161111_1.pdf,9ba17e77a81de3c2b4a5026e8a8b0783503cdcf272be8a31a26937dd0f0c396b,official_sse_pdf
510300-20170120-cash,510300,cash_dividend,2017-01-17,2017-01-20,2017-01-23,2017-01-26,0.55,0.05500000000000001,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-01-16/510300_20170117_1.pdf,19d67c3c8f568b81f6ca489ccbc6b9f2d392bf0ecc0cfe217df1ccda5059d7ae,official_sse_pdf
510050-20171127-cash,510050,cash_dividend,2017-11-10,2017-11-27,2017-11-28,2017-12-01,0.54,0.054000000000000006,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2017-11-09/510050_20171110_1.pdf,25513ca48fa842bd49ec6ffa6a4f4f205d90b6d1d9b66c0f01cdf97993aa6aa0,official_sse_pdf
510300-20180122-cash,510300,cash_dividend,2018-01-17,2018-01-22,2018-01-23,2018-01-26,0.46,0.046,1.0,https://www.sse.com.cn/disclosure/fund/announcement/c/2018-01-17/510300_20180117_1.pdf,6aecb0d984b8777857dc71df0f118a5d14b88bdc6d8a73257149d63d35946fca,official_sse_pdf
