code,fund_name,date,title,category,url,index_evidence_tier,body_parsed
510050,上证50ETF华夏,2024-01-09,华夏基金管理有限公司关于调整上证50交易型开放式指数证券投资基金基金份额净值计算小数点后保留位数的公告,其他事项,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-09/510050_20240109_BZZ6.pdf,official_sse_announcement_index,False
510050,上证50ETF华夏,2024-11-25,上证50交易型开放式指数证券投资基金利润分配公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-25/510050_20241125_J74G.pdf,official_sse_announcement_index,False
510050,上证50ETF华夏,2024-12-03,华夏基金管理有限公司关于旗下102只基金改聘会计师事务所公告,基金更换或改聘基金托管人、律师事务所、会计师事务所、基金份额登记机构等,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-12-03/510050_20241203_SXLF.pdf,official_sse_announcement_index,False
510050,上证50ETF华夏,2025-12-10,上证50交易型开放式指数证券投资基金利润分配公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-12-10/510050_20251210_C3NC.pdf,official_sse_announcement_index,False
510300,沪深300ETF华泰柏瑞,2024-01-11,华泰柏瑞沪深300交易型开放式指数证券投资基金分红公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-01-11/510300_20240111_QQFV.pdf,official_sse_announcement_index,False
510300,沪深300ETF华泰柏瑞,2024-11-02,华泰柏瑞基金管理有限公司旗下部分基金改聘会计师事务所公告,基金更换或改聘基金托管人、律师事务所、会计师事务所、基金份额登记机构等,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-02/510300_20241102_ONCW.pdf,official_sse_announcement_index,False
510300,沪深300ETF华泰柏瑞,2025-06-11,华泰柏瑞沪深300交易型开放式指数证券投资基金分红公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-06-11/510300_20250611_ZAU4.pdf,official_sse_announcement_index,False
510500,中证500ETF南方,2024-05-10,中证500交易型开放式指数证券投资基金分红公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-05-10/510500_20240510_LM77.pdf,official_sse_announcement_index,False
510500,中证500ETF南方,2024-11-02,南方基金管理股份有限公司关于旗下基金改聘会计师事务所公告,基金更换或改聘基金托管人、律师事务所、会计师事务所、基金份额登记机构等,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-02/510500_20241102_IBO8.pdf,official_sse_announcement_index,False
510500,中证500ETF南方,2025-01-09,中证500交易型开放式指数证券投资基金分红公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-09/510500_20250109_GIJW.pdf,official_sse_announcement_index,False
512100,中证1000ETF南方,2024-11-02,南方基金管理股份有限公司关于旗下基金改聘会计师事务所公告,基金更换或改聘基金托管人、律师事务所、会计师事务所、基金份额登记机构等,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2024-11-02/512100_20241102_XSDS.pdf,official_sse_announcement_index,False
512100,中证1000ETF南方,2025-01-10,南方中证1000交易型开放式指数证券投资基金分红公告,收益分配,https://www.sse.com.cn/disclosure/fund/announcement/c/new/2025-01-10/512100_20250110_TKLR.pdf,official_sse_announcement_index,False
