spec_id,family,parameters,max_etf_exposure,borrowing,synthetic_leverage
HE-single_159915_trend_cash-000,single_159915_trend_cash,"[20, 20, 0, 5]",1.0,False,False
HE-single_159915_trend_cash-001,single_159915_trend_cash,"[20, 20, 0, 20]",1.0,False,False
HE-single_159915_trend_cash-002,single_159915_trend_cash,"[20, 20, 0.2, 5]",1.0,False,False
HE-single_159915_trend_cash-003,single_159915_trend_cash,"[20, 20, 0.2, 20]",1.0,False,False
HE-single_159915_trend_cash-004,single_159915_trend_cash,"[20, 20, 0.4, 5]",1.0,False,False
HE-single_159915_trend_cash-005,single_159915_trend_cash,"[20, 20, 0.4, 20]",1.0,False,False
HE-single_159915_trend_cash-006,single_159915_trend_cash,"[20, 60, 0, 5]",1.0,False,False
HE-single_159915_trend_cash-007,single_159915_trend_cash,"[20, 60, 0, 20]",1.0,False,False
HE-single_159915_trend_cash-008,single_159915_trend_cash,"[20, 60, 0.2, 5]",1.0,False,False
HE-single_159915_trend_cash-009,single_159915_trend_cash,"[20, 60, 0.2, 20]",1.0,False,False
HE-single_159915_trend_cash-010,single_159915_trend_cash,"[20, 60, 0.4, 5]",1.0,False,False
HE-single_159915_trend_cash-011,single_159915_trend_cash,"[20, 60, 0.4, 20]",1.0,False,False
HE-single_159915_trend_cash-012,single_159915_trend_cash,"[60, 20, 0, 5]",1.0,False,False
HE-single_159915_trend_cash-013,single_159915_trend_cash,"[60, 20, 0, 20]",1.0,False,False
HE-single_159915_trend_cash-014,single_159915_trend_cash,"[60, 20, 0.2, 5]",1.0,False,False
HE-single_159915_trend_cash-015,single_159915_trend_cash,"[60, 20, 0.2, 20]",1.0,False,False
HE-single_159915_trend_cash-016,single_159915_trend_cash,"[60, 20, 0.4, 5]",1.0,False,False
HE-single_159915_trend_cash-017,single_159915_trend_cash,"[60, 20, 0.4, 20]",1.0,False,False
HE-single_159915_trend_cash-018,single_159915_trend_cash,"[60, 60, 0, 5]",1.0,False,False
HE-single_159915_trend_cash-019,single_159915_trend_cash,"[60, 60, 0, 20]",1.0,False,False
HE-single_159915_trend_cash-020,single_159915_trend_cash,"[60, 60, 0.2, 5]",1.0,False,False
HE-single_159915_trend_cash-021,single_159915_trend_cash,"[60, 60, 0.2, 20]",1.0,False,False
HE-single_159915_trend_cash-022,single_159915_trend_cash,"[60, 60, 0.4, 5]",1.0,False,False
HE-single_159915_trend_cash-023,single_159915_trend_cash,"[60, 60, 0.4, 20]",1.0,False,False
HE-single_159915_trend_cash-024,single_159915_trend_cash,"[120, 20, 0, 5]",1.0,False,False
HE-single_159915_trend_cash-025,single_159915_trend_cash,"[120, 20, 0, 20]",1.0,False,False
HE-single_159915_trend_cash-026,single_159915_trend_cash,"[120, 20, 0.2, 5]",1.0,False,False
HE-single_159915_trend_cash-027,single_159915_trend_cash,"[120, 20, 0.2, 20]",1.0,False,False
HE-single_159915_trend_cash-028,single_159915_trend_cash,"[120, 20, 0.4, 5]",1.0,False,False
HE-single_159915_trend_cash-029,single_159915_trend_cash,"[120, 20, 0.4, 20]",1.0,False,False
HE-single_159915_trend_cash-030,single_159915_trend_cash,"[120, 60, 0, 5]",1.0,False,False
HE-single_159915_trend_cash-031,single_159915_trend_cash,"[120, 60, 0, 20]",1.0,False,False
HE-single_159915_trend_cash-032,single_159915_trend_cash,"[120, 60, 0.2, 5]",1.0,False,False
HE-single_159915_trend_cash-033,single_159915_trend_cash,"[120, 60, 0.2, 20]",1.0,False,False
HE-single_159915_trend_cash-034,single_159915_trend_cash,"[120, 60, 0.4, 5]",1.0,False,False
HE-single_159915_trend_cash-035,single_159915_trend_cash,"[120, 60, 0.4, 20]",1.0,False,False
HE-e2_relative_absolute-000,e2_relative_absolute,"[20, 20, ""cash"", 5]",1.0,False,False
HE-e2_relative_absolute-001,e2_relative_absolute,"[20, 20, ""cash"", 20]",1.0,False,False
HE-e2_relative_absolute-002,e2_relative_absolute,"[20, 20, ""510500"", 5]",1.0,False,False
HE-e2_relative_absolute-003,e2_relative_absolute,"[20, 20, ""510500"", 20]",1.0,False,False
HE-e2_relative_absolute-004,e2_relative_absolute,"[20, 60, ""cash"", 5]",1.0,False,False
HE-e2_relative_absolute-005,e2_relative_absolute,"[20, 60, ""cash"", 20]",1.0,False,False
HE-e2_relative_absolute-006,e2_relative_absolute,"[20, 60, ""510500"", 5]",1.0,False,False
HE-e2_relative_absolute-007,e2_relative_absolute,"[20, 60, ""510500"", 20]",1.0,False,False
HE-e2_relative_absolute-008,e2_relative_absolute,"[20, 120, ""cash"", 5]",1.0,False,False
HE-e2_relative_absolute-009,e2_relative_absolute,"[20, 120, ""cash"", 20]",1.0,False,False
HE-e2_relative_absolute-010,e2_relative_absolute,"[20, 120, ""510500"", 5]",1.0,False,False
HE-e2_relative_absolute-011,e2_relative_absolute,"[20, 120, ""510500"", 20]",1.0,False,False
HE-e2_relative_absolute-012,e2_relative_absolute,"[60, 20, ""cash"", 5]",1.0,False,False
HE-e2_relative_absolute-013,e2_relative_absolute,"[60, 20, ""cash"", 20]",1.0,False,False
HE-e2_relative_absolute-014,e2_relative_absolute,"[60, 20, ""510500"", 5]",1.0,False,False
HE-e2_relative_absolute-015,e2_relative_absolute,"[60, 20, ""510500"", 20]",1.0,False,False
HE-e2_relative_absolute-016,e2_relative_absolute,"[60, 60, ""cash"", 5]",1.0,False,False
HE-e2_relative_absolute-017,e2_relative_absolute,"[60, 60, ""cash"", 20]",1.0,False,False
HE-e2_relative_absolute-018,e2_relative_absolute,"[60, 60, ""510500"", 5]",1.0,False,False
HE-e2_relative_absolute-019,e2_relative_absolute,"[60, 60, ""510500"", 20]",1.0,False,False
HE-e2_relative_absolute-020,e2_relative_absolute,"[60, 120, ""cash"", 5]",1.0,False,False
