universe,family,spec_id,parameters
U3,A,U3-A000,"[20, 20, 0.4, 0, 5]"
U3,A,U3-A001,"[20, 20, 0.4, 0, 20]"
U3,A,U3-A002,"[20, 20, 0.4, 0.3, 5]"
U3,A,U3-A003,"[20, 20, 0.4, 0.3, 20]"
U3,A,U3-A004,"[20, 20, 0.7, 0, 5]"
U3,A,U3-A005,"[20, 20, 0.7, 0, 20]"
U3,A,U3-A006,"[20, 20, 0.7, 0.3, 5]"
U3,A,U3-A007,"[20, 20, 0.7, 0.3, 20]"
U3,A,U3-A008,"[20, 20, 1.0, 0, 5]"
U3,A,U3-A009,"[20, 20, 1.0, 0, 20]"
U3,A,U3-A010,"[20, 20, 1.0, 0.3, 5]"
U3,A,U3-A011,"[20, 20, 1.0, 0.3, 20]"
U3,A,U3-A012,"[20, 60, 0.4, 0, 5]"
U3,A,U3-A013,"[20, 60, 0.4, 0, 20]"
U3,A,U3-A014,"[20, 60, 0.4, 0.3, 5]"
U3,A,U3-A015,"[20, 60, 0.4, 0.3, 20]"
U3,A,U3-A016,"[20, 60, 0.7, 0, 5]"
U3,A,U3-A017,"[20, 60, 0.7, 0, 20]"
U3,A,U3-A018,"[20, 60, 0.7, 0.3, 5]"
U3,A,U3-A019,"[20, 60, 0.7, 0.3, 20]"
U3,A,U3-A020,"[20, 60, 1.0, 0, 5]"
U3,A,U3-A021,"[20, 60, 1.0, 0, 20]"
U3,A,U3-A022,"[20, 60, 1.0, 0.3, 5]"
U3,A,U3-A023,"[20, 60, 1.0, 0.3, 20]"
U3,A,U3-A024,"[60, 20, 0.4, 0, 5]"
U3,A,U3-A025,"[60, 20, 0.4, 0, 20]"
U3,A,U3-A026,"[60, 20, 0.4, 0.3, 5]"
U3,A,U3-A027,"[60, 20, 0.4, 0.3, 20]"
U3,A,U3-A028,"[60, 20, 0.7, 0, 5]"
U3,A,U3-A029,"[60, 20, 0.7, 0, 20]"
U3,A,U3-A030,"[60, 20, 0.7, 0.3, 5]"
