strategy,family,worst_timing_success,median_w24,worst_w24,p5_w24,worst_drawdown,passes_numeric_dual_target,passes_strict_gate,blocking_reason
S1_mom_lb60_top2_monthly_none,S1,0.02564102564102564,727123.9446258453,551228.8181359301,591621.7534487878,0.3992328732045336,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top2_monthly_none,S1,0.02564102564102564,726730.3034986582,551354.4625573497,591609.5443176018,0.3975292004943969,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb60_top1_monthly_none,S1,0.02564102564102564,725002.2424546634,563609.4730070285,594086.8309074737,0.4619898335827026,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb60_top1_monthly_none,S1,0.02564102564102564,724192.5520613682,566502.2176984921,589862.2648339048,0.4625255854554803,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top1_monthly_none,S1,0.021367521367521368,740755.2999698527,561909.6406011165,607613.8189852359,0.4593750080376988,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top2_monthly_none,S1,0.021367521367521368,737659.2739078028,559876.6620144155,612641.6375793974,0.4150349781275746,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top2_monthly_none,S1,0.021367521367521368,736329.1858021757,567723.3380264393,616615.4403868429,0.41788306286885923,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top1_monthly_none,S1,0.021367521367521368,734869.4505046755,555236.7881023716,609336.963057794,0.46349496089785436,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top2_weekly_none,S1,0.017094017094017096,732873.0517194709,565658.3503412083,626434.5505880901,0.44651679761370466,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top2_weekly_none,S1,0.017094017094017096,732050.5921782983,565658.3503412083,624060.3444334135,0.4495985767463341,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb120_top1_weekly_none,S1,0.017094017094017096,725301.4000579243,566668.1681936627,614834.8635734521,0.4595689197069578,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb120_top1_weekly_none,S1,0.017094017094017096,721662.1273345463,569519.933881239,620227.3674808124,0.45956772120913514,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_mom_lb20_top1_weekly_none,S1,0.017094017094017096,716918.1843440757,483247.70080722123,598971.370984753,0.3043549771852777,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S0_mix_510050_510300_510500_512100,S0,0.01282051282051282,738529.6784907619,387737.0341105955,583597.6827666527,0.5285447905845864,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S0_dca_510050,S0,0.01282051282051282,735607.6054830407,387737.0341105955,592684.5684900066,0.5285447905845864,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
S1_ramom_lb20_top2_weekly_none,S1,0.01282051282051282,726219.6391552824,488507.87817889254,602635.1383734134,0.2887539190508732,False,False,company_action_ledger_and_whole_lot_accounting_incomplete
