strategy,family,deposit_timing,n_windows,p_success,p_w12,p_w24,median_w24,p10_w24,p90_w24,median_max_drawdown,p95_max_drawdown,p_w24_below_deposit,p_w24_below_720k,p_drawdown_gt_35,p_drawdown_gt_50,avg_turnover,fee_drag,financing_drag,score,worst_w12,worst_w24,p5_w24,p95_w24,worst_drawdown,worst_recovery_days
S0_dca_512100,S0,ending,234,0.0,0.0,0.0,720000.0,635584.8493715257,887802.1068763541,0.0,0.22247310022538366,0.2564102564102564,0.2564102564102564,0.0,0.0,0.0006066683499565115,73.11211200595424,0.0,-19.196938133178353,269892.2616323865,479796.50951091386,603657.2040904744,933849.4705354299,0.2570345034127218,80.0
S0_dca_512100,S0,beginning,234,0.0,0.0,0.0,720000.0,629817.6283212737,903671.965570065,0.0,0.2232740898787343,0.2606837606837607,0.2606837606837607,0.0,0.0,0.0014431588099141867,87.78329657039811,0.0,-19.35487568735058,257750.64668334904,465565.4635109139,595886.7851850361,947931.1303862466,0.2587834139395496,100.0
S1_ramom_lb20_top2_monthly_ma200,S1,beginning,234,0.0,0.029914529914529916,0.021367521367521368,720000.0,643159.513579709,864802.5076106824,0.11040063682836843,0.3016104698024056,0.3034188034188034,0.3034188034188034,0.0,0.0,0.016433496342153513,2238.4838905195074,0.0,-21.000505558399468,283674.587295803,552710.701526646,612630.0906334228,930614.4517036588,0.3446131246274796,215.0
S1_mom_lb20_top2_monthly_ma200,S1,beginning,234,0.0,0.029914529914529916,0.021367521367521368,720000.0,645729.1748558971,860904.2661850328,0.11040063682836843,0.3010089686098655,0.3076923076923077,0.3076923076923077,0.0,0.0,0.016949353098310454,2314.5610536696818,0.0,-21.155236775533687,282872.6831638582,550434.5591855797,612630.0906334228,907191.3460107855,0.34364214027654005,215.0
S1_ramom_lb20_top2_monthly_ma200,S1,ending,234,0.0,0.021367521367521368,0.017094017094017096,720000.0,648761.0734594039,853347.4420931358,0.10522167884233724,0.3010089686098655,0.31196581196581197,0.31196581196581197,0.0,0.0,0.01591492141599562,2068.2884510469944,0.0,-21.294465108283188,293315.80904644064,560346.4991478567,618162.4008951427,910476.3823705945,0.34298057286550176,214.0
S1_mom_lb20_top2_monthly_ma200,S1,ending,234,0.0,0.021367521367521368,0.01282051282051282,720000.0,651866.7459586042,849884.4680063986,0.10522167884233724,0.3010089686098654,0.3162393162393162,0.3162393162393162,0.0,0.0,0.01643077817215256,2137.9911967991607,0.0,-21.449196325417407,292625.46498839895,558192.906010853,618162.4008951427,889729.5011815734,0.34195948519296604,214.0
S0_dca_510500,S0,beginning,234,0.0,0.017094017094017096,0.021367521367521368,720000.0,635877.1532234636,947680.0939729963,0.13123865041792326,0.44649229573074906,0.2606837606837607,0.2606837606837607,0.08547008547008547,0.0,0.0018277349426863755,132.85572486924863,0.0,-21.49547358543044,270787.39246529416,519286.1532087033,607460.4975089914,1038485.0548266192,0.47169377845772054,256.0
S1_ramom_lb20_top2_weekly_ma200,S1,ending,234,0.0,0.021367521367521368,0.021367521367521368,720000.0,665129.1652552575,834253.9480805121,0.07947801690217138,0.264183184992156,0.3162393162393162,0.3162393162393162,0.0,0.0,0.03485431473565538,4690.5603029077365,0.0,-21.633431691052436,322164.51425689925,610006.8087679486,651229.2707025717,1003166.8097628294,0.2856930644125947,195.0
S1_ramom_lb20_top2_weekly_ma200,S1,beginning,234,0.0,0.03418803418803419,0.021367521367521368,720000.0,661993.7347665909,840914.4216947792,0.07932017745315689,0.26469825676266157,0.32051282051282054,0.32051282051282054,0.0,0.0,0.0364188299689661,5084.795293883198,0.0,-21.798649492958194,316737.03721240984,602890.2748330747,646986.412885142,1018772.6377629621,0.287571366070309,215.0
S1_mom_lb20_top2_weekly_ma200,S1,beginning,234,0.0,0.03418803418803419,0.021367521367521368,720000.0,664863.6311658103,813337.4509611605,0.07932017745315689,0.26469825676266157,0.32051282051282054,0.32051282051282054,0.0,0.0,0.03765963210955494,5219.890672958688,0.0,-21.81105751436408,315216.6539997862,601402.8787988228,649955.7967533582,998321.2178051211,0.28654079598623594,195.0
