strategy,worst_w12,worst_w24,max_drawdown,unexecutable_rate,fees,turnover,sample_windows,p5_w24,passes_targets,sample_size_gate_passed,passes_strict_gate,blocking_reason
A000,348225.61797999986,732329.9028899997,0.022336209904115667,0.0,5330.297110000001,7479528.800000003,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A001,369542.04102,751893.6794299998,0.020868209765265044,0.0,1968.09834,2805067.0000000005,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A002,348225.61797999986,732329.9028899997,0.022336209904115667,0.0,5330.297110000001,7479528.800000003,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A003,369542.04102,751893.6794299998,0.020868209765265044,0.0,1968.09834,2805067.0000000005,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A004,339651.2091300001,741649.59384,0.038672614475015576,0.0,9203.406159999997,12995643.299999999,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A005,376484.1037900001,775992.0433,0.036175864120983725,0.0,3503.4965399999996,4998493.0,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A006,339651.2091300001,741649.59384,0.038672614475015576,0.0,9203.406159999997,12995643.299999999,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A007,376484.1037900001,775992.0433,0.036175864120983725,0.0,3503.4965399999996,4998493.0,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A008,339441.69180000003,746848.0761200001,0.05473377010373237,0.03917525773195876,8582.490560000004,12143776.8,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A009,353594.82352000003,784220.72548,0.04607256928437764,0.010309278350515464,2928.41108,4183444.3999999994,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A010,339651.2091300001,741649.59384,0.038672614475015576,0.0,9203.406159999997,12995643.299999999,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A011,376484.1037900001,775992.0433,0.036175864120983725,0.0,3503.4965399999996,4998493.0,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A012,350294.81240000005,750688.8476500001,0.02061165586083058,0.0,3090.8697599999987,4221912.0,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A013,365541.33700999996,757128.7214299999,0.030394480625331677,0.0,1699.5155699999998,2401492.1999999997,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
A014,350294.81240000005,750688.8476500001,0.02061165586083058,0.0,3090.8697599999987,4221912.0,1,,False,False,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
