strategy,family,trend_window,volatility_window,risk_fraction,cash_fraction,rebalance_days,deposit_timing,w12,w24,max_drawdown,fees,turnover,blocked,unexecutable_rate,sample_windows
A000,cash_trend_volatility,20,20,0.4,0.0,5,beginning,348225.61797999986,732329.9028899997,0.02230653944496319,5330.297110000001,7479528.800000003,0,0.0,1
A000,cash_trend_volatility,20,20,0.4,0.0,5,ending,349661.96232,732733.5828199999,0.022336209904115667,4978.217179999997,7002343.4,0,0.0,1
A001,cash_trend_volatility,20,20,0.4,0.0,20,beginning,370750.90665,754273.7016599999,0.020868209765265044,1968.09834,2805067.0000000005,0,0.0,1
A001,cash_trend_volatility,20,20,0.4,0.0,20,ending,369542.04102,751893.6794299998,0.019737910884335408,1818.82057,2598315.1,0,0.0,1
A002,cash_trend_volatility,20,20,0.4,0.3,5,beginning,348225.61797999986,732329.9028899997,0.02230653944496319,5330.297110000001,7479528.800000003,0,0.0,1
A002,cash_trend_volatility,20,20,0.4,0.3,5,ending,349661.96232,732733.5828199999,0.022336209904115667,4978.217179999997,7002343.4,0,0.0,1
A003,cash_trend_volatility,20,20,0.4,0.3,20,beginning,370750.90665,754273.7016599999,0.020868209765265044,1968.09834,2805067.0000000005,0,0.0,1
A003,cash_trend_volatility,20,20,0.4,0.3,20,ending,369542.04102,751893.6794299998,0.019737910884335408,1818.82057,2598315.1,0,0.0,1
A004,cash_trend_volatility,20,20,0.7,0.0,5,beginning,339651.2091300001,741649.59384,0.03867136193781362,9203.406159999997,12995643.299999999,0,0.0,1
A004,cash_trend_volatility,20,20,0.7,0.0,5,ending,342136.29302999994,742362.7404799999,0.038672614475015576,8625.25952,12188831.1,0,0.0,1
A005,cash_trend_volatility,20,20,0.7,0.0,20,beginning,378518.5866700001,780144.1034599999,0.036175864120983725,3503.4965399999996,4998493.0,0,0.0,1
A005,cash_trend_volatility,20,20,0.7,0.0,20,ending,376484.1037900001,775992.0433,0.03450628602403283,3246.056699999999,4630721.8,0,0.0,1
A006,cash_trend_volatility,20,20,0.7,0.3,5,beginning,339651.2091300001,741649.59384,0.03867136193781362,9203.406159999997,12995643.299999999,0,0.0,1
A006,cash_trend_volatility,20,20,0.7,0.3,5,ending,342136.29302999994,742362.7404799999,0.038672614475015576,8625.25952,12188831.1,0,0.0,1
A007,cash_trend_volatility,20,20,0.7,0.3,20,beginning,378518.5866700001,780144.1034599999,0.036175864120983725,3503.4965399999996,4998493.0,0,0.0,1
A007,cash_trend_volatility,20,20,0.7,0.3,20,ending,376484.1037900001,775992.0433,0.03450628602403283,3246.056699999999,4630721.8,0,0.0,1
A008,cash_trend_volatility,20,20,1.0,0.0,5,beginning,342593.36127,756933.8094400003,0.05471998156300739,8582.490560000004,12143776.8,18,0.03711340206185567,1
A008,cash_trend_volatility,20,20,1.0,0.0,5,ending,339441.69180000003,746848.0761200001,0.05473377010373237,7796.82388,11038572.100000001,19,0.03917525773195876,1
A009,cash_trend_volatility,20,20,1.0,0.0,20,beginning,388313.11512,831707.2889199998,0.04607256928437764,2928.41108,4183444.3999999994,5,0.010309278350515464,1
A009,cash_trend_volatility,20,20,1.0,0.0,20,ending,353594.82352000003,784220.72548,0.04605225844617866,2527.6745200000005,3610963.6,5,0.010309278350515464,1
A010,cash_trend_volatility,20,20,1.0,0.3,5,beginning,339651.2091300001,741649.59384,0.03867136193781362,9203.406159999997,12995643.299999999,0,0.0,1
A010,cash_trend_volatility,20,20,1.0,0.3,5,ending,342136.29302999994,742362.7404799999,0.038672614475015576,8625.25952,12188831.1,0,0.0,1
A011,cash_trend_volatility,20,20,1.0,0.3,20,beginning,378518.5866700001,780144.1034599999,0.036175864120983725,3503.4965399999996,4998493.0,0,0.0,1
A011,cash_trend_volatility,20,20,1.0,0.3,20,ending,376484.1037900001,775992.0433,0.03450628602403283,3246.056699999999,4630721.8,0,0.0,1
A012,cash_trend_volatility,20,60,0.4,0.0,5,beginning,350294.81240000005,751376.9302400001,0.02061165586083058,3090.8697599999987,4221912.0,0,0.0,1
A012,cash_trend_volatility,20,60,0.4,0.0,5,ending,351508.87541,750688.8476500001,0.020595229098097412,2882.6523500000003,3919882.399999999,0,0.0,1
A013,cash_trend_volatility,20,60,0.4,0.0,20,beginning,366379.62590000004,759698.6844300001,0.027464217117667777,1699.5155699999998,2401492.1999999997,0,0.0,1
A013,cash_trend_volatility,20,60,0.4,0.0,20,ending,365541.33700999996,757128.7214299999,0.030394480625331677,1574.27857,2223090.1999999993,0,0.0,1
A014,cash_trend_volatility,20,60,0.4,0.3,5,beginning,350294.81240000005,751376.9302400001,0.02061165586083058,3090.8697599999987,4221912.0,0,0.0,1
A014,cash_trend_volatility,20,60,0.4,0.3,5,ending,351508.87541,750688.8476500001,0.020595229098097412,2882.6523500000003,3919882.399999999,0,0.0,1
A015,cash_trend_volatility,20,60,0.4,0.3,20,beginning,366379.62590000004,759698.6844300001,0.027464217117667777,1699.5155699999998,2401492.1999999997,0,0.0,1
A015,cash_trend_volatility,20,60,0.4,0.3,20,ending,365541.33700999996,757128.7214299999,0.030394480625331677,1574.27857,2223090.1999999993,0,0.0,1
A016,cash_trend_volatility,20,60,0.7,0.0,5,beginning,343197.27106999996,775799.9090599999,0.0359183307768941,5317.59094,7369349.800000001,0,0.0,1
A016,cash_trend_volatility,20,60,0.7,0.0,5,ending,345268.5000799999,774482.5968999997,0.035860751991524054,4944.103099999999,6840984.299999999,0,0.0,1
A017,cash_trend_volatility,20,60,0.7,0.0,20,beginning,370562.49467000004,789798.6133200001,0.048146730002319615,3006.58668,4279396.0,0,0.0,1
A017,cash_trend_volatility,20,60,0.7,0.0,20,ending,369179.4477900001,785190.26497,0.05312298676277283,2781.6350300000004,3957903.6999999997,0,0.0,1
A018,cash_trend_volatility,20,60,0.7,0.3,5,beginning,343197.27106999996,775799.9090599999,0.0359183307768941,5317.59094,7369349.800000001,0,0.0,1
A018,cash_trend_volatility,20,60,0.7,0.3,5,ending,345268.5000799999,774482.5968999997,0.035860751991524054,4944.103099999999,6840984.299999999,0,0.0,1
A019,cash_trend_volatility,20,60,0.7,0.3,20,beginning,370562.49467000004,789798.6133200001,0.048146730002319615,3006.58668,4279396.0,0,0.0,1
A019,cash_trend_volatility,20,60,0.7,0.3,20,ending,369179.4477900001,785190.26497,0.05312298676277283,2781.6350300000004,3957903.6999999997,0,0.0,1
A020,cash_trend_volatility,20,60,1.0,0.0,5,beginning,341589.58056000003,808826.2947600001,0.03910199144702409,5908.105239999999,8242748.3,14,0.0288659793814433,1
A020,cash_trend_volatility,20,60,1.0,0.0,5,ending,342911.44083,803157.3927900001,0.04508197481363496,6396.50721,8938162.700000001,12,0.024742268041237112,1
A021,cash_trend_volatility,20,60,1.0,0.0,20,beginning,377132.28056,825442.0744000002,0.06875945012406803,3902.5256000000004,5559883.200000001,4,0.008247422680412371,1
A021,cash_trend_volatility,20,60,1.0,0.0,20,ending,344141.43801000004,782873.0444700001,0.06975264741427734,3393.5555299999996,4831595.1,4,0.008247422680412371,1
A022,cash_trend_volatility,20,60,1.0,0.3,5,beginning,343197.27106999996,775799.9090599999,0.0359183307768941,5317.59094,7369349.800000001,0,0.0,1
A022,cash_trend_volatility,20,60,1.0,0.3,5,ending,345268.5000799999,774482.5968999997,0.035860751991524054,4944.103099999999,6840984.299999999,0,0.0,1
A023,cash_trend_volatility,20,60,1.0,0.3,20,beginning,370562.49467000004,789798.6133200001,0.048146730002319615,3006.58668,4279396.0,0,0.0,1
A023,cash_trend_volatility,20,60,1.0,0.3,20,ending,369179.4477900001,785190.26497,0.05312298676277283,2781.6350300000004,3957903.6999999997,0,0.0,1
A024,cash_trend_volatility,60,20,0.4,0.0,5,beginning,349454.4637800001,707187.1829499998,0.04296690251338575,4771.217049999999,6669881.899999998,0,0.0,1
A024,cash_trend_volatility,60,20,0.4,0.0,5,ending,350782.07424,708938.7940699996,0.043060424098628536,4479.70593,6257444.499999999,0,0.0,1
A025,cash_trend_volatility,60,20,0.4,0.0,20,beginning,353566.78884,733477.6728799999,0.04302373326063924,1948.3271199999997,2782648.4999999995,0,0.0,1
A025,cash_trend_volatility,60,20,0.4,0.0,20,ending,354556.39586999995,733628.5344400001,0.04298624523767525,1815.8655599999997,2592829.8,0,0.0,1
A026,cash_trend_volatility,60,20,0.4,0.3,5,beginning,349454.4637800001,707187.1829499998,0.04296690251338575,4771.217049999999,6669881.899999998,0,0.0,1
A026,cash_trend_volatility,60,20,0.4,0.3,5,ending,350782.07424,708938.7940699996,0.043060424098628536,4479.70593,6257444.499999999,0,0.0,1
A027,cash_trend_volatility,60,20,0.4,0.3,20,beginning,353566.78884,733477.6728799999,0.04302373326063924,1948.3271199999997,2782648.4999999995,0,0.0,1
A027,cash_trend_volatility,60,20,0.4,0.3,20,ending,354556.39586999995,733628.5344400001,0.04298624523767525,1815.8655599999997,2592829.8,0,0.0,1
A028,cash_trend_volatility,60,20,0.7,0.0,5,beginning,341690.98776,697310.4333500002,0.07536879930309182,8152.46665,11453939.499999998,0,0.0,1
A028,cash_trend_volatility,60,20,0.7,0.0,5,ending,343984.6202399999,700414.5072799999,0.0753584335662073,7654.792719999998,10754707.799999999,0,0.0,1
A029,cash_trend_volatility,60,20,0.7,0.0,20,beginning,348771.46651000006,743071.25056,0.07532746168462534,3398.24944,4847749.399999999,0,0.0,1
A029,cash_trend_volatility,60,20,0.7,0.0,20,ending,350490.69016999996,743338.1217299999,0.07538299440792051,3168.07827,4525826.1,0,0.0,1
A030,cash_trend_volatility,60,20,0.7,0.3,5,beginning,341690.98776,697310.4333500002,0.07536879930309182,8152.46665,11453939.499999998,0,0.0,1
A030,cash_trend_volatility,60,20,0.7,0.3,5,ending,343984.6202399999,700414.5072799999,0.0753584335662073,7654.792719999998,10754707.799999999,0,0.0,1
A031,cash_trend_volatility,60,20,0.7,0.3,20,beginning,348771.46651000006,743071.25056,0.07532746168462534,3398.24944,4847749.399999999,0,0.0,1
A031,cash_trend_volatility,60,20,0.7,0.3,20,ending,350490.69016999996,743338.1217299999,0.07538299440792051,3168.07827,4525826.1,0,0.0,1
A032,cash_trend_volatility,60,20,1.0,0.0,5,beginning,333411.05532,674257.05436,0.1029906749642584,6911.745639999998,9754100.099999998,21,0.04329896907216495,1
A032,cash_trend_volatility,60,20,1.0,0.0,5,ending,333629.01465,676741.83364,0.10260656009748637,6685.266359999998,9408565.4,20,0.041237113402061855,1
A033,cash_trend_volatility,60,20,1.0,0.0,20,beginning,348847.40174999996,771168.67839,0.05204861826896756,2757.02161,3938602.3000000003,8,0.016494845360824743,1
A033,cash_trend_volatility,60,20,1.0,0.0,20,ending,347274.9817000001,751497.4819700001,0.10318352963418687,2915.41803,4164882.9,6,0.012371134020618556,1
A034,cash_trend_volatility,60,20,1.0,0.3,5,beginning,341690.98776,697310.4333500002,0.07536879930309182,8152.46665,11453939.499999998,0,0.0,1
A034,cash_trend_volatility,60,20,1.0,0.3,5,ending,343984.6202399999,700414.5072799999,0.0753584335662073,7654.792719999998,10754707.799999999,0,0.0,1
A035,cash_trend_volatility,60,20,1.0,0.3,20,beginning,348771.46651000006,743071.25056,0.07532746168462534,3398.24944,4847749.399999999,0,0.0,1
A035,cash_trend_volatility,60,20,1.0,0.3,20,ending,350490.69016999996,743338.1217299999,0.07538299440792051,3168.07827,4525826.1,0,0.0,1
A036,cash_trend_volatility,60,60,0.4,0.0,5,beginning,354964.28758,731326.6826600004,0.035715176752380895,2738.41734,3683600.399999999,0,0.0,1
A036,cash_trend_volatility,60,60,0.4,0.0,5,ending,355462.55017999996,731338.8884999999,0.03568144492405656,2575.0114999999996,3462769.6999999993,0,0.0,1
A037,cash_trend_volatility,60,60,0.4,0.0,20,beginning,356398.0303,742724.9733399999,0.03578398501512514,1481.1266600000004,2095982.7,0,0.0,1
A037,cash_trend_volatility,60,60,0.4,0.0,20,ending,356705.71286,741862.1953300001,0.035727614913512284,1401.6046700000002,1975897.2,0,0.0,1
A038,cash_trend_volatility,60,60,0.4,0.3,5,beginning,354964.28758,731326.6826600004,0.035715176752380895,2738.41734,3683600.399999999,0,0.0,1
A038,cash_trend_volatility,60,60,0.4,0.3,5,ending,355462.55017999996,731338.8884999999,0.03568144492405656,2575.0114999999996,3462769.6999999993,0,0.0,1
A039,cash_trend_volatility,60,60,0.4,0.3,20,beginning,356398.0303,742724.9733399999,0.03578398501512514,1481.1266600000004,2095982.7,0,0.0,1
A039,cash_trend_volatility,60,60,0.4,0.3,20,ending,356705.71286,741862.1953300001,0.035727614913512284,1401.6046700000002,1975897.2,0,0.0,1
A040,cash_trend_volatility,60,60,0.7,0.0,5,beginning,351184.29864,739579.7364500001,0.06255328670402993,4654.763550000002,6405842.2,0,0.0,1
A040,cash_trend_volatility,60,60,0.7,0.0,5,ending,352081.09462,739754.9192899999,0.06243824253831476,4386.38071,6027120.9,0,0.0,1
A041,cash_trend_volatility,60,60,0.7,0.0,20,beginning,353684.23884000006,759639.04498,0.06264462532225645,2583.35502,3676435.8,0,0.0,1
A041,cash_trend_volatility,60,60,0.7,0.0,20,ending,354215.81122000003,758120.63528,0.06256075581658072,2435.56472,3465729.4999999995,0,0.0,1
A042,cash_trend_volatility,60,60,0.7,0.3,5,beginning,351184.29864,739579.7364500001,0.06255328670402993,4654.763550000002,6405842.2,0,0.0,1
A042,cash_trend_volatility,60,60,0.7,0.3,5,ending,352081.09462,739754.9192899999,0.06243824253831476,4386.38071,6027120.9,0,0.0,1
A043,cash_trend_volatility,60,60,0.7,0.3,20,beginning,353684.23884000006,759639.04498,0.06264462532225645,2583.35502,3676435.8,0,0.0,1
A043,cash_trend_volatility,60,60,0.7,0.3,20,ending,354215.81122000003,758120.63528,0.06256075581658072,2435.56472,3465729.4999999995,0,0.0,1
A044,cash_trend_volatility,60,60,1.0,0.0,5,beginning,354994.2051,761158.01917,0.07838733512910456,3989.8808299999987,5527002.399999999,18,0.03711340206185567,1
