strategy,worst_w12,worst_w24,max_drawdown,unexecutable_rate,fees,turnover,sample_windows,p5_w24,passes_targets,sample_size_gate_passed,asset_identity_passed,passes_strict_gate,blocking_reason
B000,327764.85751,704044.6769000002,0.09956236428160548,0.10309278350515463,5047.1271,7197913.999999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B001,333681.18332000007,700997.5258000001,0.09320579080918912,0.024742268041237112,2316.3370299999997,3309052.9000000004,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B002,393262.3004800001,743313.4767599999,0.06994285462047245,0.1463917525773196,4748.547060000001,6732564.099999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B003,333681.18332000007,700997.5258000001,0.09320579080918912,0.03505154639175258,3044.03498,4348621.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B004,338366.0962400001,689041.2727600002,0.12696210852297984,0.10309278350515463,4901.526089999999,6987808.0,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B005,358714.07661,722390.65315,0.10772338741879262,0.0288659793814433,1735.8739300000002,2479819.9000000004,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B006,370174.1723699999,730174.1723699999,0.10124329983853075,0.1422680412371134,3127.6078399999997,4421447.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B007,391217.50256000005,742708.8627599999,0.10887702204710747,0.03917525773195876,2396.21309,3416260.8,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B008,347943.9502600001,691152.7464100003,0.12701338203497203,0.09896907216494845,4413.785690000001,6286124.2,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B009,358343.77937000006,715329.5089700001,0.1079713641428861,0.0288659793814433,1825.21129,2607444.7,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B010,402977.3759299999,765956.4305,0.10024539914357633,0.1360824742268041,2849.9694999999997,3986375.2,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B011,391590.68785000005,852574.8171500001,0.10896046077734778,0.030927835051546393,3328.5419,4748401.2,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B012,325647.39382999996,704820.4577600001,0.11108299776712305,0.09690721649484536,4285.042240000001,6109888.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B013,341814.6913400001,683229.6444400001,0.11099980248169294,0.0288659793814433,2110.2555599999996,3014650.8,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B014,388216.84072000015,726278.35192,0.11411880143672237,0.13814432989690723,4879.44808,6912216.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B015,350213.97184000013,664054.8300300001,0.11293378026131329,0.03711340206185567,3015.5699699999996,4307957.1,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B016,352317.30452999996,666966.9276999999,0.09040809385887905,0.09484536082474226,2788.6722999999993,3969543.0000000005,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B017,347535.70674000005,690896.29134,0.11257093209463742,0.020618556701030927,1691.60866,2416583.8,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B018,391866.99836000014,753993.4918300002,0.11421910383732525,0.1422680412371134,2857.30817,4023432.2,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B019,378512.40561,693143.1688300001,0.06944799770402754,0.03505154639175258,1545.3311700000002,2200715.2,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B020,353524.42193000007,730038.6065700001,0.11267849494193338,0.11752577319587629,3118.97497,4441867.6,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B021,356110.85944000003,716110.85944,0.11296650994586854,0.032989690721649485,376.36179000000004,537659.7,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B022,387974.90459000005,767113.3371500002,0.0857245071283933,0.1360824742268041,2625.61806,3671093.6,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B023,382772.09870000003,742772.0987,0.11276045147065283,0.03711340206185567,683.9013,970343.2000000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B024,341578.22912000003,652293.94498,0.07077483488782543,0.09484536082474226,3435.1463000000003,4900931.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B025,350548.03757000004,701353.47921,0.0907021813307769,0.020618556701030927,2251.2207900000003,3216029.6999999997,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B026,394575.6020500001,736959.0439700002,0.0816293058510622,0.14432989690721648,4120.75603,5814834.399999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B027,359251.32938999997,670425.4024499999,0.0906984667109566,0.03505154639175258,3021.89755,4316996.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B028,353569.97246,709199.9331399999,0.08084359138764097,0.10103092783505155,2252.46686,3217809.8,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B029,356157.99594000005,699306.1710600001,0.08084359138764097,0.020618556701030927,1605.4798899999998,2293542.7,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B030,403441.7489099999,786941.9881099998,0.08159237713529743,0.1463917525773196,2498.2477999999996,3495755.0000000005,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B031,381790.89218,725045.2720399998,0.07649874978705218,0.03505154639175258,2315.33285,3300959.7,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B032,360549.21030999994,770176.6577999999,0.08065731920049313,0.10515463917525773,1616.6421999999998,2308848.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B033,353710.58627999993,745119.6168300001,0.08084359138764097,0.024742268041237112,1486.68317,2123833.1,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B034,403441.7489099999,820735.0754099999,0.08159237713529743,0.1402061855670103,1480.70113,2042116.9000000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B035,381790.89218,774620.7158399998,0.07649874978705218,0.032989690721649485,1364.32188,1942372.6,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B036,335160.1046099999,833899.4122000001,0.07052921610974228,0.08453608247422681,10391.279840000003,14705623.799999995,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B037,377502.91714000015,871726.7159799999,0.07420486183580477,0.01443298969072165,6032.21666,8604359.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B038,341153.86473000003,832802.2553099999,0.0709170355151203,0.1134020618556701,11587.44469,16391752.400000006,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B039,342953.19950999995,857242.9277999997,0.07568709869960066,0.020618556701030927,5924.572199999999,8451067.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B040,347563.5371100001,770296.4905099999,0.07972411116371181,0.08041237113402062,7226.609489999998,10172326.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B041,358469.66863,814679.1670499998,0.08011011926638523,0.016494845360824743,4277.1748099999995,6092205.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B042,385201.92815,839520.35046,0.07971200139099677,0.11134020618556702,8892.749539999999,12489531.9,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B043,387059.39191000006,875933.2180899999,0.07882615764750023,0.020618556701030927,5794.44543,8252590.299999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B044,352703.83408000006,815412.7234700001,0.07067507440822307,0.08453608247422681,8707.545119999999,12275531.299999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B045,360005.8894,841182.74168,0.05780910118001792,0.020618556701030927,4045.5583200000005,5760763.0,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B046,398164.23506,864500.7440599999,0.07180242728053732,0.1154639175257732,9795.602900000002,13783685.899999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B047,389145.56441999995,892702.6676299999,0.057985670284208535,0.026804123711340205,4337.93744,6171497.400000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B048,346076.63990000007,829291.9288600003,0.06349087701975686,0.07835051546391752,11041.501389999998,15653451.0,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B049,338543.25893999997,767890.17154,0.07118013529251122,0.018556701030927835,4805.528459999999,6859414.999999999,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B050,388109.4715600001,869599.99396,0.0594847406867246,0.10515463917525773,12324.102740000006,17404424.4,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B051,371270.31122000003,803070.88575,0.07118013529251122,0.032989690721649485,5403.88468,7714968.200000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
B052,349654.12782,730454.9581899999,0.08189618001359711,0.07216494845360824,6131.541810000001,8576173.900000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
