strategy,family,top_k,momentum_window,absolute_trend_window,fallback,holding_days,deposit_timing,w12,w24,max_drawdown,fees,turnover,blocked,unexecutable_rate,sample_windows
B000,u4_rotation,1,20,20,cash,5,beginning,328542.46414000005,704044.6769000002,0.09956236428160548,4240.8231,6046718.100000001,50,0.10309278350515463,1
B000,u4_rotation,1,20,20,cash,5,ending,327764.85751,716921.0729000001,0.06708949035124889,5047.1271,7197913.999999999,46,0.09484536082474226,1
B001,u4_rotation,1,20,20,cash,20,beginning,394073.55877,825664.3629700001,0.08876916694757164,2316.3370299999997,3309052.9000000004,12,0.024742268041237112,1
B001,u4_rotation,1,20,20,cash,20,ending,333681.18332000007,700997.5258000001,0.09320579080918912,1737.4741999999999,2482106.0,11,0.02268041237113402,1
B002,u4_rotation,1,20,20,510050,5,beginning,398574.77880000003,791498.1529400002,0.0671785190398484,4748.547060000001,6732564.099999999,71,0.1463917525773196,1
B002,u4_rotation,1,20,20,510050,5,ending,393262.3004800001,743313.4767599999,0.06994285462047245,4611.5232399999995,6550629.0,67,0.13814432989690723,1
B003,u4_rotation,1,20,20,510050,20,beginning,357044.92263000004,817268.8650200001,0.06831295712891983,3044.03498,4348621.4,17,0.03505154639175258,1
B003,u4_rotation,1,20,20,510050,20,ending,333681.18332000007,700997.5258000001,0.09320579080918912,1737.4741999999999,2482106.0,16,0.032989690721649485,1
B004,u4_rotation,1,20,60,cash,5,beginning,338366.0962400001,689041.2727600002,0.12696210852297984,3996.92724,5705132.200000001,50,0.10309278350515463,1
B004,u4_rotation,1,20,60,cash,5,ending,350183.77357,718418.6739100001,0.12580707191178486,4901.526089999999,6987808.0,43,0.088659793814433,1
B005,u4_rotation,1,20,60,cash,20,beginning,362390.65315,722390.65315,0.10772338741879262,581.3468499999999,830495.5,14,0.0288659793814433,1
B005,u4_rotation,1,20,60,cash,20,ending,358714.07661,763019.52607,0.10652770341126538,1735.8739300000002,2479819.9000000004,12,0.024742268041237112,1
B006,u4_rotation,1,20,60,510050,5,beginning,370174.1723699999,730174.1723699999,0.10124329983853075,2654.32763,3738348.1,69,0.1422680412371134,1
B006,u4_rotation,1,20,60,510050,5,ending,388683.58522,760696.29216,0.06697584221822539,3127.6078399999997,4421447.3,69,0.1422680412371134,1
B007,u4_rotation,1,20,60,510050,20,beginning,392984.60539,774756.98691,0.10887702204710747,2396.21309,3416260.8,15,0.030927835051546393,1
B007,u4_rotation,1,20,60,510050,20,ending,391217.50256000005,742708.8627599999,0.10781359992982942,1358.03724,1940053.2,19,0.03917525773195876,1
B008,u4_rotation,1,20,120,cash,5,beginning,347943.9502600001,691152.7464100003,0.12701338203497203,4187.5535899999995,5974579.1,48,0.09896907216494845,1
B008,u4_rotation,1,20,120,cash,5,ending,353901.22617000004,717618.2143100002,0.12592992472410836,4413.785690000001,6286124.2,45,0.09278350515463918,1
B009,u4_rotation,1,20,120,cash,20,beginning,366933.40430000005,768697.6887099999,0.1079713641428861,1825.21129,2607444.7,14,0.0288659793814433,1
B009,u4_rotation,1,20,120,cash,20,ending,358343.77937000006,715329.5089700001,0.10641800623707276,1163.59103,1662272.9,12,0.024742268041237112,1
B010,u4_rotation,1,20,120,510050,5,beginning,408762.82181999995,765956.4305,0.0857245071283933,2849.9694999999997,3986375.2,66,0.1360824742268041,1
B010,u4_rotation,1,20,120,510050,5,ending,402977.3759299999,767588.6481499997,0.10024539914357633,2628.25185,3666999.0999999996,64,0.13195876288659794,1
B011,u4_rotation,1,20,120,510050,20,beginning,399900.54365000007,867320.4581,0.10896046077734778,3328.5419,4748401.2,12,0.024742268041237112,1
B011,u4_rotation,1,20,120,510050,20,ending,391590.68785000005,852574.8171500001,0.10777109564164689,3081.48285,4395459.7,15,0.030927835051546393,1
B012,u4_rotation,1,60,20,cash,5,beginning,328220.98622000014,704820.4577600001,0.0670855954259052,4285.042240000001,6109888.3,47,0.09690721649484536,1
B012,u4_rotation,1,60,20,cash,5,ending,325647.39382999996,706823.91715,0.11108299776712305,4196.7828500000005,5976426.3,45,0.09278350515463918,1
B013,u4_rotation,1,60,20,cash,20,beginning,344972.40621000004,704972.40621,0.03984380852992053,527.3937900000001,753419.7000000001,14,0.0288659793814433,1
B013,u4_rotation,1,60,20,cash,20,ending,341814.6913400001,683229.6444400001,0.11099980248169294,2110.2555599999996,3014650.8,9,0.018556701030927835,1
B014,u4_rotation,1,60,20,510050,5,beginning,388216.84072000015,726278.35192,0.11411880143672237,4879.44808,6912216.4,67,0.13814432989690723,1
B014,u4_rotation,1,60,20,510050,5,ending,400087.81805000006,756349.3949500001,0.06838061230542036,4740.405049999999,6712371.400000001,67,0.13814432989690723,1
B015,u4_rotation,1,60,20,510050,20,beginning,357150.23302000004,717150.23302,0.11293378026131329,1050.2669799999999,1500381.4,18,0.03711340206185567,1
B015,u4_rotation,1,60,20,510050,20,ending,350213.97184000013,664054.8300300001,0.11099980248169294,3015.5699699999996,4307957.1,15,0.030927835051546393,1
B016,u4_rotation,1,60,60,cash,5,beginning,352317.30452999996,666966.9276999999,0.0851057336602592,2788.6722999999993,3969543.0000000005,46,0.09484536082474226,1
B016,u4_rotation,1,60,60,cash,5,ending,357557.72177000006,674601.86149,0.09040809385887905,2121.2385099999997,3008656.9000000004,46,0.09484536082474226,1
B017,u4_rotation,1,60,60,cash,20,beginning,347535.70674000005,690896.29134,0.11257093209463742,1691.60866,2416583.8,10,0.020618556701030927,1
B017,u4_rotation,1,60,60,cash,20,ending,350865.45742,706807.6887,0.11129831648495403,1129.2113000000002,1613159.0000000002,10,0.020618556701030927,1
B018,u4_rotation,1,60,60,510050,5,beginning,395505.0803100001,753993.4918300002,0.11421910383732525,2857.30817,4023432.2,69,0.1422680412371134,1
B018,u4_rotation,1,60,60,510050,5,ending,391866.99836000014,768618.74412,0.11303962413060642,2524.1558800000003,3540296.3000000003,67,0.13814432989690723,1
B019,u4_rotation,1,60,60,510050,20,beginning,385405.06948,745405.0694800001,0.03986984542154148,982.2305200000001,1397496.2,17,0.03505154639175258,1
B019,u4_rotation,1,60,60,510050,20,ending,378512.40561,693143.1688300001,0.06944799770402754,1545.3311700000002,2200715.2,17,0.03505154639175258,1
