strategy,worst_w12,worst_w24,max_drawdown,unexecutable_rate,fees,turnover,sample_windows,p5_w24,passes_targets,sample_size_gate_passed,asset_identity_passed,passes_strict_gate,blocking_reason
C000,362779.0949,743973.4998999999,0.013598279195791152,0.0,1658.9476499999996,1079151.3999999997,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C001,365975.21387000015,769804.0248600005,0.02699898547194246,0.0,2522.91244,2219536.3999999994,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C002,370050.17306,805442.6094600002,0.044619533512859966,0.0288659793814433,3517.3750600000008,3552727.300000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C003,362617.4,744177.2963,0.01360570853830989,0.0,1481.5228200000004,770655.2000000005,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C004,365701.73697000014,770310.10366,0.026970388568937964,0.0,2124.41266,1569452.9999999998,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C005,369666.38714000006,804732.2126500001,0.04459606366376401,0.01443298969072165,2754.102070000001,2415311.8000000007,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C006,362463.19490000006,744888.4152200002,0.013555597159110033,0.0,1293.00361,504824.8000000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C007,365493.89041000005,771950.0178699999,0.026991252537863164,0.0,1783.7567200000003,1019672.8,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C008,369281.12822,801363.0553300004,0.04461510892824361,0.020618556701030927,2249.1962399999998,1702901.3999999997,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C009,362904.49999999994,740504.5107,0.013568697755251269,0.0,1405.0618800000002,724159.8000000003,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C010,366213.2550400001,762419.2147899999,0.02700434134919505,0.0,2025.5579799999994,1479220.5,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C011,370538.76383999997,787762.18748,0.04462221929667376,0.006185567010309278,2690.12765,2266498.600000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C012,363575.13838,749403.6482099998,0.017421831491847506,0.0,2652.9120500000004,2649299.2000000007,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C013,367464.4318400002,781042.1922600002,0.03502446318186325,0.0,4645.220210000002,5446637.500000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C014,370254.77218,819857.9084300001,0.04801946210077501,0.04329896907216495,6790.5549999999985,8444069.600000003,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C015,360763.0078000001,746159.4024900001,0.017456868300291695,0.0,1822.9482300000004,1328100.3,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C016,361914.5178300001,774544.5782099997,0.0347821981193045,0.0,2811.45693,2679898.0999999987,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C017,365306.78331999993,813939.54773,0.046582594103382835,0.01443298969072165,3911.0517399999994,4164175.9999999986,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C018,361933.65173000004,747949.7012899998,0.01357855114705453,0.0,2322.4258199999995,2119387.400000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C019,364408.51542000007,778296.3830400003,0.026995592273808655,0.0,3985.3521,4354214.200000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C020,367455.15768,819072.0980900002,0.04461841696825386,0.032989690721649485,5860.198449999999,7068556.600000001,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C021,362904.49999999994,751127.30442,0.013575998031777448,0.0,1574.7131200000001,967514.7000000002,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C022,366213.2550400001,784798.6569100001,0.027012813240934963,0.0,2378.4436100000003,1981997.9000000006,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
C023,370538.76383999997,830173.4606799999,0.04460922749229146,0.012371134020618556,3244.17383,3111006.9000000004,1,,False,False,True,False,sample_size_gate: one 24-month window; five nonoverlap blocks required
