strategy,family,drawdown_threshold,cooldown_days,reentry_confirmation_days,risk_budget,deposit_timing,w12,w24,max_drawdown,fees,turnover,blocked,unexecutable_rate,sample_windows
C000,drawdown_reentry,0.05,5,3,0.3,beginning,363192.5680899999,745568.1523500001,0.013598279195791152,1658.9476499999996,1079151.3999999997,0,0.0,1
C000,drawdown_reentry,0.05,5,3,0.3,ending,362779.0949,743973.4998999999,0.013538750475272754,1502.8000999999997,1002754.7000000004,0,0.0,1
C001,drawdown_reentry,0.05,5,3,0.6,beginning,366743.7503600001,773007.7875600003,0.02699898547194246,2522.91244,2219536.3999999994,0,0.0,1
C001,drawdown_reentry,0.05,5,3,0.6,ending,365975.21387000015,769804.0248600005,0.026987539121381965,2391.17514,2072490.3999999992,0,0.0,1
C002,drawdown_reentry,0.05,5,3,1.0,beginning,371167.7264799999,810883.2249400002,0.044619533512859966,3517.3750600000008,3552727.300000001,12,0.024742268041237112,1
C002,drawdown_reentry,0.05,5,3,1.0,ending,370050.17306,805442.6094600002,0.0446008422280445,3289.7905399999995,3306334.900000001,14,0.0288659793814433,1
C003,drawdown_reentry,0.05,5,10,0.3,beginning,362953.2511899999,745659.1771799998,0.01360570853830989,1481.5228200000004,770655.2000000005,0,0.0,1
C003,drawdown_reentry,0.05,5,10,0.3,ending,362617.4,744177.2963,0.013555023130562116,1325.8037000000002,705253.5000000006,0,0.0,1
C004,drawdown_reentry,0.05,5,10,0.6,beginning,366286.30881000013,773415.6873400002,0.026970388568937964,2124.41266,1569452.9999999998,0,0.0,1
C004,drawdown_reentry,0.05,5,10,0.6,ending,365701.73697000014,770310.10366,0.026968517240114065,2011.0963399999998,1453686.5999999999,0,0.0,1
C005,drawdown_reentry,0.05,5,10,1.0,beginning,370329.56032000005,809526.4979300001,0.04459606366376401,2754.102070000001,2415311.8000000007,7,0.01443298969072165,1
C005,drawdown_reentry,0.05,5,10,1.0,ending,369666.38714000006,804732.2126500001,0.04457135132202783,2542.5873500000002,2223565.9,6,0.012371134020618556,1
C006,drawdown_reentry,0.05,20,3,0.3,beginning,362817.02558999986,746468.29639,0.013543173027746658,1293.00361,504824.8000000001,0,0.0,1
C006,drawdown_reentry,0.05,20,3,0.3,ending,362463.19490000006,744888.4152200002,0.013555597159110033,1168.9847800000002,452059.4000000001,0,0.0,1
C007,drawdown_reentry,0.05,20,3,0.6,beginning,366013.6073000001,774996.3432800001,0.026989674575833456,1783.7567200000003,1019672.8,0,0.0,1
C007,drawdown_reentry,0.05,20,3,0.6,ending,365493.89041000005,771950.0178699999,0.026991252537863164,1634.1821299999997,924570.4000000003,0,0.0,1
C008,drawdown_reentry,0.05,20,3,1.0,beginning,369821.24354000005,805790.3037600002,0.04461510892824361,2249.1962399999998,1702901.3999999997,10,0.020618556701030927,1
C008,drawdown_reentry,0.05,20,3,1.0,ending,369281.12822,801363.0553300004,0.04458707839539666,2111.3446699999995,1552756.2000000004,9,0.018556701030927835,1
C009,drawdown_reentry,0.05,20,10,0.3,beginning,363318.3511899999,741832.0381199998,0.013568697755251269,1405.0618800000002,724159.8000000003,0,0.0,1
C009,drawdown_reentry,0.05,20,10,0.3,ending,362904.49999999994,740504.5107,0.013566855440387604,1288.1893,676996.9000000001,0,0.0,1
C010,drawdown_reentry,0.05,20,10,0.6,beginning,367012.7536200001,765274.6420199998,0.027003410351186252,2025.5579799999994,1479220.5,0,0.0,1
C010,drawdown_reentry,0.05,20,10,0.6,ending,366213.2550400001,762419.2147899999,0.02700434134919505,1940.2852100000005,1386927.4000000001,0,0.0,1
C011,drawdown_reentry,0.05,20,10,1.0,beginning,371721.5419799999,792129.07235,0.04462221929667376,2690.12765,2266498.600000001,3,0.006185567010309278,1
C011,drawdown_reentry,0.05,20,10,1.0,ending,370538.76383999997,787762.18748,0.044590101547060335,2499.91252,2121221.3999999994,3,0.006185567010309278,1
C012,drawdown_reentry,0.1,5,3,0.3,beginning,364084.6198299999,751394.2879499999,0.017421831491847506,2652.9120500000004,2649299.2000000007,0,0.0,1
C012,drawdown_reentry,0.1,5,3,0.3,ending,363575.13838,749403.6482099998,0.017334114860006244,2443.9517900000005,2477900.5000000005,0,0.0,1
C013,drawdown_reentry,0.1,5,3,0.6,beginning,368468.5462300001,785063.67979,0.034847013426243856,4645.220210000002,5446637.500000002,0,0.0,1
C013,drawdown_reentry,0.1,5,3,0.6,ending,367464.4318400002,781042.1922600002,0.03502446318186325,4396.007740000001,5103662.4,0,0.0,1
C014,drawdown_reentry,0.1,5,3,1.0,beginning,371389.87419,826066.9450000002,0.04801946210077501,6790.5549999999985,8444069.600000003,19,0.03917525773195876,1
C014,drawdown_reentry,0.1,5,3,1.0,ending,370254.77218,819857.9084300001,0.04801867417169947,6376.8915700000025,7908956.6,21,0.04329896907216495,1
C015,drawdown_reentry,0.1,5,10,0.3,beginning,360939.57172999985,747746.0517699999,0.017456868300291695,1822.9482300000004,1328100.3,0,0.0,1
C015,drawdown_reentry,0.1,5,10,0.3,ending,360763.0078000001,746159.4024900001,0.0174228355962589,1614.7975100000003,1219212.6000000006,0,0.0,1
C016,drawdown_reentry,0.1,5,10,0.6,beginning,362223.8797400001,777534.3430700002,0.034754230446194856,2811.45693,2679898.0999999987,0,0.0,1
C016,drawdown_reentry,0.1,5,10,0.6,ending,361914.5178300001,774544.5782099997,0.0347821981193045,2637.221790000001,2488583.0,0,0.0,1
C017,drawdown_reentry,0.1,5,10,1.0,beginning,365769.72774999996,819181.0482600003,0.04650824404985843,3911.0517399999994,4164175.9999999986,7,0.01443298969072165,1
C017,drawdown_reentry,0.1,5,10,1.0,ending,365306.78331999993,813939.54773,0.046582594103382835,3649.2522700000004,3867227.9000000027,7,0.01443298969072165,1
C018,drawdown_reentry,0.1,20,3,0.3,beginning,362230.75513999985,749724.9741799998,0.013567595491360662,2322.4258199999995,2119387.400000001,0,0.0,1
C018,drawdown_reentry,0.1,20,3,0.3,ending,361933.65173000004,747949.7012899998,0.01357855114705453,2155.6987099999997,1985911.4000000006,0,0.0,1
C019,drawdown_reentry,0.1,20,3,0.6,beginning,364841.38374000014,781631.1479000002,0.026995592273808655,3985.3521,4354214.200000001,0,0.0,1
C019,drawdown_reentry,0.1,20,3,0.6,ending,364408.51542000007,778296.3830400003,0.02698056248559033,3725.4169599999996,4081042.999999998,0,0.0,1
C020,drawdown_reentry,0.1,20,3,1.0,beginning,367827.46417000005,824375.7015500005,0.04461395621754338,5860.198449999999,7068556.600000001,16,0.032989690721649485,1
C020,drawdown_reentry,0.1,20,3,1.0,ending,367455.15768,819072.0980900002,0.04461841696825386,5489.10191,6637555.799999999,14,0.0288659793814433,1
C021,drawdown_reentry,0.1,20,10,0.3,beginning,363318.3511899999,753055.48688,0.013548698028357786,1574.7131200000001,967514.7000000002,0,0.0,1
C021,drawdown_reentry,0.1,20,10,0.3,ending,362904.49999999994,751127.30442,0.013575998031777448,1449.79558,907825.8000000004,0,0.0,1
C022,drawdown_reentry,0.1,20,10,0.6,beginning,367012.7536200001,788865.95639,0.027012813240934963,2378.4436100000003,1981997.9000000006,0,0.0,1
C022,drawdown_reentry,0.1,20,10,0.6,ending,366213.2550400001,784798.6569100001,0.02695665492174737,2247.04309,1857231.3999999997,0,0.0,1
C023,drawdown_reentry,0.1,20,10,1.0,beginning,371721.5419799999,836958.0261700001,0.04460922749229146,3244.17383,3111006.9000000004,6,0.012371134020618556,1
C023,drawdown_reentry,0.1,20,10,1.0,ending,370538.76383999997,830173.4606799999,0.04460731047312516,3015.0393200000008,2914416.999999999,6,0.012371134020618556,1
C024,drawdown_reentry,0.15,5,3,0.3,beginning,366796.92099,753299.2877699999,0.017340432230619207,2614.2122300000005,2655439.400000001,0,0.0,1
C024,drawdown_reentry,0.15,5,3,0.3,ending,365756.77972,750759.2188799998,0.017387029987744662,2458.28112,2486376.4000000004,0,0.0,1
C025,drawdown_reentry,0.15,5,3,0.6,beginning,373987.6419300001,789054.9579200002,0.034961953534478396,4697.04208,5494945.799999998,0,0.0,1
C025,drawdown_reentry,0.15,5,3,0.6,ending,371944.6860800001,784077.9641900002,0.034953947823448184,4409.435809999999,5130025.7,0,0.0,1
C026,drawdown_reentry,0.15,5,3,1.0,beginning,379311.21254,830786.3467300001,0.05680343443882374,6957.653270000003,8813301.3,24,0.049484536082474224,1
C026,drawdown_reentry,0.15,5,3,1.0,ending,376577.24274,823110.4002100001,0.05662008194479573,6507.39979,8230402.499999999,22,0.04536082474226804,1
C027,drawdown_reentry,0.15,5,10,0.3,beginning,365230.1405,752042.8573500002,0.01739327106616828,2041.24265,1719791.0000000005,0,0.0,1
C027,drawdown_reentry,0.15,5,10,0.3,ending,364637.71444999997,750100.4507499998,0.017304555814458555,1870.8492500000004,1593735.3999999994,0,0.0,1
C028,drawdown_reentry,0.15,5,10,0.6,beginning,370727.92695,786312.1265099999,0.03499982353820219,3399.7734900000005,3505679.2999999984,0,0.0,1
C028,drawdown_reentry,0.15,5,10,0.6,ending,369641.14969000005,782420.6573999999,0.03498612996796724,3151.7426000000005,3252468.5999999987,0,0.0,1
C029,drawdown_reentry,0.15,5,10,1.0,beginning,377357.1562999999,834232.3347800002,0.056808232727325936,4596.16522,5195676.199999997,13,0.026804123711340205,1
C029,drawdown_reentry,0.15,5,10,1.0,ending,375795.61789999995,823613.7498799998,0.05671694381207415,4319.650119999999,4944136.399999999,13,0.026804123711340205,1
C030,drawdown_reentry,0.15,20,3,0.3,beginning,364602.34448999993,750990.8514900001,0.017394905510306202,2617.44851,2646938.3000000007,0,0.0,1
C030,drawdown_reentry,0.15,20,3,0.3,ending,363829.67942000006,748776.47461,0.01731959728045307,2467.0253900000002,2478256.5,0,0.0,1
C031,drawdown_reentry,0.15,20,3,0.6,beginning,369528.2020700001,784215.6012899999,0.035000382023536614,4664.698709999999,5448240.4,0,0.0,1
C031,drawdown_reentry,0.15,20,3,0.6,ending,367951.8168100003,779620.6635400004,0.03495415608897978,4413.63646,5093548.199999998,0,0.0,1
C032,drawdown_reentry,0.15,20,3,1.0,beginning,373303.96252000006,823846.2167200004,0.04812172634527179,6852.283279999998,8611624.699999997,22,0.04536082474226804,1
C032,drawdown_reentry,0.15,20,3,1.0,ending,371206.67058999994,816870.67976,0.04802107676609568,6402.520240000001,8051489.500000001,21,0.04329896907216495,1
C033,drawdown_reentry,0.15,20,10,0.3,beginning,360939.57172999985,747475.01599,0.017456868300291695,2079.3840100000007,1712593.2999999998,0,0.0,1
C033,drawdown_reentry,0.15,20,10,0.3,ending,360763.0078000001,745948.9797200001,0.0174228355962589,1837.8202800000001,1578001.6,0,0.0,1
C034,drawdown_reentry,0.15,20,10,0.6,beginning,362223.8797400001,777077.5512299999,0.034754230446194856,3331.14877,3454999.999999998,0,0.0,1
C034,drawdown_reentry,0.15,20,10,0.6,ending,361914.5178300001,774015.5989099997,0.0347821981193045,3101.4010900000003,3208890.6999999997,0,0.0,1
C035,drawdown_reentry,0.15,20,10,1.0,beginning,365769.72774999996,816607.5559699999,0.04650824404985843,4559.54403,5128393.600000002,10,0.020618556701030927,1
C035,drawdown_reentry,0.15,20,10,1.0,ending,365306.78331999993,811711.6654000002,0.046582594103382835,4223.3346,4765813.8,10,0.020618556701030927,1
