strategy,family,volatility_target,cash_cap,weighting,deposit_timing,w12,w24,max_drawdown,fees,turnover,blocked,unexecutable_rate,sample_windows
D000,downside_budget,0.1,0.3,inverse_volatility,beginning,383617.12741,858178.44017,0.07526283960546598,750.1598299999999,927958.1,0,0.0,1
D000,downside_budget,0.1,0.3,inverse_volatility,ending,381158.59130999993,849581.5169200001,0.07431548756700423,715.3830799999998,870014.2000000001,0,0.0,1
D001,downside_budget,0.1,0.3,minimum_variance,beginning,386216.66511000006,813250.4282900002,0.08295219154790778,2841.0717099999997,4017777.0000000005,1,0.002061855670103093,1
D001,downside_budget,0.1,0.3,minimum_variance,ending,383312.89211,806826.8833100001,0.0820607754697511,2620.5166900000004,3705007.0000000005,1,0.002061855670103093,1
D002,downside_budget,0.1,0.6,inverse_volatility,beginning,383055.01385999995,846878.8765799999,0.0553977976871316,964.9234200000001,1253042.0999999999,0,0.0,1
D002,downside_budget,0.1,0.6,inverse_volatility,ending,380569.02096,838858.98798,0.0546239905616942,900.31202,1163216.1999999997,0,0.0,1
D003,downside_budget,0.1,0.6,minimum_variance,beginning,386342.76399,807490.8652700002,0.0653269672127984,2650.2347299999997,3742711.1,1,0.002061855670103093,1
D003,downside_budget,0.1,0.6,minimum_variance,ending,383420.0054,801310.4580300001,0.06453543213692015,2440.241969999999,3454046.7,1,0.002061855670103093,1
D004,downside_budget,0.1,1.0,inverse_volatility,beginning,382825.85121,847587.8347799999,0.0553977976871316,1019.1652200000001,1335936.0,0,0.0,1
D004,downside_budget,0.1,1.0,inverse_volatility,ending,380353.62078,839525.71354,0.0546239905616942,946.58646,1234578.2000000002,0,0.0,1
D005,downside_budget,0.1,1.0,minimum_variance,beginning,386186.2688600001,808143.1629500001,0.0653269672127984,2641.83705,3725141.0,1,0.002061855670103093,1
D005,downside_budget,0.1,1.0,minimum_variance,ending,383274.08706999995,801937.3582899999,0.06453543213692015,2438.0417099999995,3437625.200000001,1,0.002061855670103093,1
D006,downside_budget,0.15,0.3,inverse_volatility,beginning,387126.96944,875877.86769,0.08234245715430355,836.4323100000001,1085082.7999999998,3,0.006185567010309278,1
D006,downside_budget,0.15,0.3,inverse_volatility,ending,384305.70615,866105.8994400001,0.08129929813186743,796.90056,1012167.5000000001,3,0.006185567010309278,1
D007,downside_budget,0.15,0.3,minimum_variance,beginning,385463.41234,824073.1353900001,0.09579903344130014,3234.9646099999995,4592535.8,4,0.008247422680412371,1
D007,downside_budget,0.15,0.3,minimum_variance,ending,382614.93516999995,817042.02298,0.09486502822548393,2990.17702,4248552.3,4,0.008247422680412371,1
D008,downside_budget,0.15,0.6,inverse_volatility,beginning,386724.03936000005,877917.73753,0.08234245715430355,942.7624699999999,1242482.2999999996,3,0.006185567010309278,1
D008,downside_budget,0.15,0.6,inverse_volatility,ending,383938.95546,868068.0589000001,0.08129929813186743,882.4411000000002,1147769.7,3,0.006185567010309278,1
D009,downside_budget,0.15,0.6,minimum_variance,beginning,385305.20255000005,826242.02072,0.09579903344130014,3219.6792800000003,4567084.000000001,4,0.008247422680412371,1
D009,downside_budget,0.15,0.6,minimum_variance,ending,382475.48211,819047.66419,0.09486502822548393,2976.6358100000007,4224905.800000001,4,0.008247422680412371,1
D010,downside_budget,0.15,1.0,inverse_volatility,beginning,386708.4393600001,877902.1375300001,0.08234245715430355,947.7624699999999,1242995.6999999995,3,0.006185567010309278,1
D010,downside_budget,0.15,1.0,inverse_volatility,ending,383924.45546,868063.53092,0.08129929813186743,882.1690800000001,1146997.3,3,0.006185567010309278,1
D011,downside_budget,0.15,1.0,minimum_variance,beginning,385305.20255000005,826242.02072,0.09579903344130014,3219.6792800000003,4567084.000000001,4,0.008247422680412371,1
D011,downside_budget,0.15,1.0,minimum_variance,ending,382475.48211,819047.66419,0.09486502822548393,2976.6358100000007,4224905.800000001,4,0.008247422680412371,1
D012,downside_budget,0.2,0.3,inverse_volatility,beginning,386176.8368899999,891509.65104,0.09755051516156377,731.5489600000001,928659.2000000002,6,0.012371134020618556,1
D012,downside_budget,0.2,0.3,inverse_volatility,ending,383504.50976,880953.69955,0.09613302194585394,684.6004500000003,863036.1000000001,6,0.012371134020618556,1
D013,downside_budget,0.2,0.3,minimum_variance,beginning,384766.05937000003,814593.9315399999,0.1111568011202233,3134.668460000001,4456175.800000002,8,0.016494845360824743,1
D013,downside_budget,0.2,0.3,minimum_variance,ending,381979.26979999995,808128.1525000002,0.10981944893074325,2891.5475,4110997.1999999993,8,0.016494845360824743,1
D014,downside_budget,0.2,0.6,inverse_volatility,beginning,385802.09105000005,892446.91898,0.09755051516156377,787.5810200000002,1003714.5,6,0.012371134020618556,1
D014,downside_budget,0.2,0.6,inverse_volatility,ending,383176.37178000004,881722.5190600001,0.09613302194585394,733.9809400000003,933037.0000000001,6,0.012371134020618556,1
D015,downside_budget,0.2,0.6,minimum_variance,beginning,384437.26582000003,814924.5708200003,0.1111568011202233,3114.529180000001,4427665.800000001,8,0.016494845360824743,1
