spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-A000,124,338878.1096099999,341970.6435579999,671689.3836900004,687661.2067180002,729298.8249480003,0.0,6,0,0.06291963315515714,0.0,5250.962640000002,7282443.799999999,True,0,0,0,0,0,False,False,dual_target_failure
U3-A001,124,333525.67368,343940.9236425,680068.37384,689501.3929394999,733778.37054,0.0,6,0,0.08719413368022577,0.0,2327.6301099999996,3312687.5000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A002,124,338878.1096099999,341970.6435579999,671689.3836900004,687661.2067180002,729298.8249480003,0.0,6,0,0.06291963315515714,0.0,5250.962640000002,7282443.799999999,True,0,0,0,0,0,False,False,dual_target_failure
U3-A003,124,333525.67368,343940.9236425,680068.37384,689501.3929394999,733778.37054,0.0,6,0,0.08719413368022577,0.0,2327.6301099999996,3312687.5000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A004,124,323463.56421,329127.17597100005,637205.2833600001,663238.2530435,725026.08687,0.0,6,0,0.1110005527509812,0.0,9228.55503,12999828.5,True,0,0,0,0,0,False,False,dual_target_failure
U3-A005,124,314793.45245999994,332425.88680399995,650750.02155,667511.7931665,737518.969335,0.0,6,0,0.15392055504195556,0.0,4033.17845,5759423.600000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-A006,124,323463.56421,329127.17597100005,637205.2833600001,663238.2530435,725026.08687,0.0,6,0,0.1110005527509812,0.0,9228.55503,12999828.5,True,0,0,0,0,0,False,False,dual_target_failure
U3-A007,124,314793.45245999994,332425.88680399995,650750.02155,667511.7931665,737518.969335,0.0,6,0,0.15392055504195556,0.0,4033.17845,5759423.600000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-A008,124,307718.0719400001,316785.91721750004,604098.6871200002,637888.2392345001,724081.7598250001,0.0,6,0,0.15861546670099103,0.3263157894736842,13270.55277,18805617.499999996,True,0,4812,0,0,0,False,False,dual_target_failure
U3-A009,124,296991.59607,321398.50351999997,621669.73407,646338.687495,743399.3660350001,0.0,6,0,0.2205829894911483,0.3,5769.665929999998,8242379.8999999985,True,0,1015,0,0,0,False,False,dual_target_failure
U3-A010,124,323463.56421,329127.17597100005,637205.2833600001,663238.2530435,725026.08687,0.0,6,0,0.1110005527509812,0.0,9228.55503,12999828.5,True,0,0,0,0,0,False,False,dual_target_failure
U3-A011,124,314793.45245999994,332425.88680399995,650750.02155,667511.7931665,737518.969335,0.0,6,0,0.15392055504195556,0.0,4033.17845,5759423.600000001,True,0,0,0,0,0,False,False,dual_target_failure
