spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-A012,124,346208.8539900001,348773.61371050007,685524.87748,689255.4112243998,734746.1930150001,0.0,6,0,0.03227761635589099,0.0,5390.001219999997,7512019.800000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-A014,124,346208.8539900001,348773.61371050007,685524.87748,689255.4112243998,734746.1930150001,0.0,6,0,0.03227761635589099,0.0,5390.001219999997,7512019.800000001,True,0,0,0,0,0,False,False,dual_target_failure
U3-A001,124,333525.67368,343940.9236425,680068.37384,689501.3929394999,733778.37054,0.0,6,0,0.08719413368022577,0.0,2327.6301099999996,3312687.5000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A003,124,333525.67368,343940.9236425,680068.37384,689501.3929394999,733778.37054,0.0,6,0,0.08719413368022577,0.0,2327.6301099999996,3312687.5000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A013,124,332973.16417800006,345245.3814335,679233.7032980002,694449.1984597001,734757.0106712001,0.0,6,0,0.08705679970071911,0.0,2313.0469399999997,3291499.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A015,124,332973.16417800006,345245.3814335,679233.7032980002,694449.1984597001,734757.0106712001,0.0,6,0,0.08705679970071911,0.0,2313.0469399999997,3291499.7,True,0,0,0,0,0,False,False,dual_target_failure
U3-A025,124,339862.82934000005,344856.52249,678980.5700300001,689511.954417,724770.7968350002,0.0,6,0,0.0875141677935305,0.0,2084.3012700000004,2963019.0000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A027,124,339862.82934000005,344856.52249,678980.5700300001,689511.954417,724770.7968350002,0.0,6,0,0.0875141677935305,0.0,2084.3012700000004,2963019.0000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-A036,124,343809.97953,348590.11926999997,676588.0139784,685217.1200844599,731939.1017399998,0.0,6,0,0.05880094049757467,0.0,4835.936959999999,6709907.800000003,True,0,0,0,0,0,False,False,dual_target_failure
U3-A038,124,343809.97953,348590.11926999997,676588.0139784,685217.1200844599,731939.1017399998,0.0,6,0,0.05880094049757467,0.0,4835.936959999999,6709907.800000003,True,0,0,0,0,0,False,False,dual_target_failure
