spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-C000,124,352583.3,355191.765,709789.7039999999,713216.2499999999,728716.7999999998,0.0,6,0,0.03744433592133367,0.0,2083.2710199999997,1819222.4,True,0,0,8,0,0,False,False,dual_target_failure
U3-C001,124,345253.4699600001,350539.450494,700350.6307999998,706835.7662000001,734198.7530699999,0.0,6,0,0.07858976556417563,0.0,3602.670779999999,3981185.1999999983,True,0,0,0,0,0,False,False,dual_target_failure
U3-C002,124,335784.55169,344463.0027535,687668.3229695999,698343.2465999998,740718.3818399997,0.0,6,0,0.1310796010098607,0.11742424242424243,5880.7668601000005,7362962.643000001,True,0,737,0,0,0,False,False,dual_target_failure
U3-C003,124,354159.6,355290.28,709789.7039999999,713216.2499999999,729650.5,0.0,6,0,0.02551075884888765,0.0,1719.1648199999997,1210247.8000000003,True,0,0,12,0,0,False,False,dual_target_failure
U3-C004,124,348691.0000000001,350828.4581300001,700350.6307999998,706835.7662000001,735918.8259999999,0.0,6,0,0.05224712634503692,0.0,2634.002410000001,2526622.0000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-C005,124,341319.23224000016,344822.5382569999,687668.3229695999,698343.2465999998,741231.2999999996,0.0,6,0,0.0868163837492626,0.07421875,3853.9340670000006,4375453.809999999,True,0,475,0,0,0,False,False,dual_target_failure
U3-C006,124,354159.6,355191.765,709789.7039999999,713216.2499999999,728716.7999999998,0.0,6,0,0.02551075884888765,0.0,1620.5533400000004,1054012.2,True,0,0,12,0,0,False,False,dual_target_failure
U3-C007,124,348691.0000000001,350539.545,700350.6307999998,706835.7662000001,734666.6279999998,0.0,6,0,0.05224712634503692,0.0,2482.6950500000003,2241865.5,True,0,0,0,0,0,False,False,dual_target_failure
U3-C008,124,341319.23224000016,344482.39,687668.3229695999,698343.2465999998,741231.2999999996,0.0,6,0,0.0868163837492626,0.06374501992031872,3563.0695040999994,3948309.0629999996,True,0,412,0,0,0,False,False,dual_target_failure
U3-C009,124,354159.6,355191.765,709789.7039999999,713216.2499999999,728716.7999999998,0.0,6,0,0.02551075884888765,0.0,1478.7567600000002,824200.2999999999,True,0,0,12,0,0,False,False,dual_target_failure
U3-C010,124,348691.0000000001,350539.545,700350.6307999998,706835.7662000001,733978.278375,0.0,6,0,0.05224712634503692,0.0,2157.69696,1735599.7000000004,True,0,0,0,0,0,False,False,dual_target_failure
U3-C011,124,341319.23224000016,344482.39,687668.3229695999,698343.2465999998,740718.3818399997,0.0,6,0,0.0868163837492626,0.04,2982.6243936000005,3003834.6480000005,True,0,281,0,0,0,False,False,dual_target_failure
U3-C012,124,354414.49999999994,355573.9505015,706347.1597300002,711307.905902,728019.0499999999,0.0,6,0,0.03716604453117778,0.0,2031.4302000000002,1706679.4000000001,True,0,0,4,0,0,False,False,dual_target_failure
U3-C013,124,349142.50000000006,351382.0950000001,693440.3883899996,703089.0019609999,732228.1499999999,0.0,6,0,0.07977683373688849,0.0,3323.49645,3696327.599999999,True,0,0,0,0,0,False,False,dual_target_failure
U3-C014,124,342131.9,345887.46868,676429.4406776001,692266.7172704998,736550.8862699999,0.0,6,0,0.13166035151101874,0.14885496183206107,5380.617294300003,6840202.048999997,True,0,1114,0,0,0,False,False,dual_target_failure
U3-C015,124,353971.0,355229.409987,709789.7039999999,713216.2499999999,729650.5,0.0,6,0,0.036866321892098375,0.0,1827.9830600000005,1374950.7000000002,True,0,0,6,0,0,False,False,dual_target_failure
U3-C016,124,348073.1459500001,350539.545,700350.6307999998,706835.7662000001,735918.8259999999,0.0,6,0,0.0774308763324395,0.0,2887.48633,2969878.1999999993,True,0,0,0,0,0,False,False,dual_target_failure
U3-C017,124,340289.72823999997,344482.39,687668.3229695999,698343.2465999998,741231.2999999996,0.0,6,0,0.13175659834578834,0.09765625,4546.313055000001,5477476.249999999,True,0,622,0,0,0,False,False,dual_target_failure
U3-C018,124,354414.49999999994,355577.06000000006,707919.49428,711717.6138040001,728019.0499999999,0.0,6,0,0.03716604453117778,0.0,1942.0921900000005,1569392.7000000004,True,0,0,4,0,0,False,False,dual_target_failure
U3-C019,124,349142.50000000006,351382.0950000001,696465.8332400001,703927.2027595,732228.1499999999,0.0,6,0,0.07977683373688849,0.0,3157.5741700000003,3389865.5000000005,True,0,0,0,0,0,False,False,dual_target_failure
U3-C020,124,342131.9,345900.37,681571.3465735998,693504.0893259998,738248.4995200001,0.0,6,0,0.13166035151101874,0.13309352517985612,5073.430222500003,6259791.275,True,0,855,0,0,0,False,False,dual_target_failure
U3-C021,124,353971.0,355229.409987,709789.7039999999,713216.2499999999,729650.5,0.0,6,0,0.036866321892098375,0.0,1772.9983200000006,1306580.3999999994,True,0,0,6,0,0,False,False,dual_target_failure
U3-C022,124,348073.1459500001,350539.545,700350.6307999998,706835.7662000001,735918.8259999999,0.0,6,0,0.0774308763324395,0.0,2819.73562,2830020.5,True,0,0,0,0,0,False,False,dual_target_failure
U3-C023,124,340289.72823999997,344482.39,687668.3229695999,698343.2465999998,741231.2999999996,0.0,6,0,0.13175659834578834,0.08914728682170543,4386.480280900002,5194998.587000001,True,0,578,0,0,0,False,False,dual_target_failure
U3-C024,124,349144.3714299999,351877.36361000006,693288.0031699996,699978.8977755004,726763.43747,0.0,6,0,0.03716604453117778,0.0,2285.7248900000004,2541136.600000001,True,0,0,4,0,0,False,False,dual_target_failure
U3-C025,124,338842.35438,344093.574123,667759.6623499998,680538.0668460001,730925.5999999999,0.0,6,0,0.07977683373688849,0.0,4101.21181,5014284.900000002,True,0,0,0,0,0,False,False,dual_target_failure
