spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-C003,124,354159.6,355290.28,709789.7039999999,713216.2499999999,729650.5,0.0,6,0,0.02551075884888765,0.0,1719.1648199999997,1210247.8000000003,True,0,0,12,0,0,False,False,dual_target_failure
U3-C006,124,354159.6,355191.765,709789.7039999999,713216.2499999999,728716.7999999998,0.0,6,0,0.02551075884888765,0.0,1620.5533400000004,1054012.2,True,0,0,12,0,0,False,False,dual_target_failure
U3-C009,124,354159.6,355191.765,709789.7039999999,713216.2499999999,728716.7999999998,0.0,6,0,0.02551075884888765,0.0,1478.7567600000002,824200.2999999999,True,0,0,12,0,0,False,False,dual_target_failure
U3-C015,124,353971.0,355229.409987,709789.7039999999,713216.2499999999,729650.5,0.0,6,0,0.036866321892098375,0.0,1827.9830600000005,1374950.7000000002,True,0,0,6,0,0,False,False,dual_target_failure
U3-C021,124,353971.0,355229.409987,709789.7039999999,713216.2499999999,729650.5,0.0,6,0,0.036866321892098375,0.0,1772.9983200000006,1306580.3999999994,True,0,0,6,0,0,False,False,dual_target_failure
U3-C000,124,352583.3,355191.765,709789.7039999999,713216.2499999999,728716.7999999998,0.0,6,0,0.03744433592133367,0.0,2083.2710199999997,1819222.4,True,0,0,8,0,0,False,False,dual_target_failure
U3-C018,124,354414.49999999994,355577.06000000006,707919.49428,711717.6138040001,728019.0499999999,0.0,6,0,0.03716604453117778,0.0,1942.0921900000005,1569392.7000000004,True,0,0,4,0,0,False,False,dual_target_failure
U3-C012,124,354414.49999999994,355573.9505015,706347.1597300002,711307.905902,728019.0499999999,0.0,6,0,0.03716604453117778,0.0,2031.4302000000002,1706679.4000000001,True,0,0,4,0,0,False,False,dual_target_failure
U3-C033,124,353971.0,354890.184215,706216.8078999999,711517.8482000001,728818.052295,0.0,6,0,0.036866321892098375,0.0,1883.5355900000004,1445653.7999999996,True,0,0,6,0,0,False,False,dual_target_failure
U3-C027,124,353971.0,354890.184215,705297.5629599999,711070.3501985,728068.5999999999,0.0,6,0,0.036866321892098375,0.0,1883.5355900000004,1445653.7999999996,True,0,0,6,0,0,False,False,dual_target_failure
