spec_id,cohorts,worst_w12,p5_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,asset_identity_passed,negative_cash_events,funds_insufficient,lot_rounding,suspension_or_missing_price,target_change_unfilled,passes_targets,passes_strict_gate,blocking_reason
U3-D000,124,311155.468,325531.46568550006,647454.8135212,667914.4429125,760663.6366999999,0.0,6,0,0.19829697258351264,0.08333333333333333,799.2120499999999,1085346.0999999999,True,0,209,0,0,0,False,False,dual_target_failure
U3-D002,124,318332.46350000007,332568.5736135,643304.6111399999,663783.080176,759749.25587,0.0,6,0,0.11649102355634944,0.08695652173913043,1077.71924,1473222.5000000002,True,0,212,0,0,0,False,False,dual_target_failure
U3-D004,124,317365.73424000014,332598.48637799994,640949.15448,663076.422041,762398.0905249999,0.0,6,0,0.09668420869744598,0.08108108108108109,1156.8807,1572769.7,True,0,209,0,0,0,False,False,dual_target_failure
U3-D003,124,312484.5357991999,334760.74209420005,640367.5704119998,663891.2769596999,767249.021122,0.0,6,0,0.11611530019051775,0.1,2991.69289,4240022.800000001,True,0,217,4,0,0,False,False,dual_target_failure
U3-D001,124,312347.16688,327542.7001005,639562.8628716001,669337.5172393599,764593.20199,0.0,6,0,0.1978960736138663,0.12,3002.9129100000005,4274418.4,True,0,221,4,0,0,False,False,dual_target_failure
U3-D005,124,312030.8766391999,334960.790311,639055.7850619999,663311.2794627001,770164.5798960001,0.0,6,0,0.09911841583333347,0.1,3031.5854699999995,4315691.199999999,True,0,217,4,0,0,False,False,dual_target_failure
U3-D006,124,301703.7862672,319251.175659,621604.0943155999,647956.7421872399,768500.2027050001,0.0,6,0,0.19829697258351264,0.17647058823529413,990.1534659999999,1365288.7400000005,True,0,1004,0,0,0,False,False,dual_target_failure
U3-D007,124,296244.3434136,321788.52948549995,617072.9682947998,653459.72770608,774701.8041599999,0.0,6,0,0.1978960736138663,0.22,3508.6639299999997,4991663.699999999,True,0,1138,4,0,0,False,False,dual_target_failure
U3-D008,124,298817.1370632,321407.95614049997,613077.7007887999,647498.8027798199,776263.388925,0.0,6,0,0.13488602619353984,0.17391304347826086,1094.53667,1513362.0999999999,True,0,1014,0,0,0,False,False,dual_target_failure
U3-D010,124,298817.1370632,321407.95614049997,613077.7007887999,647498.8027798199,777532.40607,0.0,6,0,0.13488602619353984,0.17391304347826086,1094.53667,1513362.0999999999,True,0,1013,0,0,0,False,False,dual_target_failure
