spec_id,cohorts,worst_w12,worst_w24,p5_w24,median_w24,dual_target_rate,nonoverlap_blocks,nonoverlap_dual_passes,max_drawdown,unexecutable_rate,fees,turnover,passes_targets,passes_strict_gate,blocking_reason
U3-B000,124,284053.89401000016,539412.00303,629335.6301215005,744147.8465818503,0.0,6,0,0.17097132802232962,0.5681818181818182,20289.022929999996,28935687.199999996,False,False,dual_target_failure
U3-B001,124,273396.26908,607662.5659300002,635744.2888383,716961.6724972001,0.0,6,0,0.2994598851543272,0.48148148148148145,9659.64125,13799487.5,False,False,dual_target_failure
U3-B002,124,303277.2754316,626860.5363099995,658328.6817647202,768517.6642899998,0.008064516129032258,6,0,0.2871149582794519,0.49586776859504134,22149.736369999995,31529419.8,False,False,dual_target_failure
U3-B003,124,282648.4545,601132.4222899999,647228.84924458,744412.0982854001,0.0,6,0,0.300750830368943,0.5,12172.128374000002,17388754.82,False,False,dual_target_failure
U3-B004,124,320208.0571199999,632228.36562,657954.2896430002,749638.86243,0.008064516129032258,6,0,0.22720581538361118,0.5609756097560976,18696.552099999997,26642839.60000001,False,False,dual_target_failure
U3-B005,124,301482.46887,646616.9786176002,655804.38117165,719658.1063170001,0.0,6,0,0.27500524801210935,0.5625,9064.67583,12949536.9,False,False,dual_target_failure
U3-B006,124,284515.66468000005,585914.0895400002,627137.3168794999,776027.2056749999,0.0,6,0,0.26889556597604714,0.5132743362831859,20294.155360000004,28871575.0,False,False,dual_target_failure
U3-B007,124,279434.4922399999,581667.4422472001,611524.9313197,745145.0821799999,0.0,6,0,0.2789398850761994,0.45714285714285713,10110.232579999998,14443189.4,False,False,dual_target_failure
U3-B008,124,294889.6626476,611453.7354500003,624426.7371954998,733236.034,0.0,6,0,0.26774173493502096,0.5517241379310345,18949.021519999995,27012982.3,False,False,dual_target_failure
U3-B009,124,278063.84966999997,613795.2045172,634484.92510134,736785.48652,0.0,6,0,0.27500524801210935,0.5238095238095238,11228.175210000001,16040250.300000003,False,False,dual_target_failure
U3-B010,124,277215.3305900001,579790.7679499998,626442.4113309999,764872.8728308,0.0,6,0,0.286018766099968,0.5267857142857143,22271.994910000005,31696542.799999993,False,False,dual_target_failure
U3-B011,124,271312.20680999995,619230.2364084001,653078.7045860799,758152.455595,0.0,6,0,0.2789398850761994,0.47058823529411764,11228.175210000001,16040250.300000003,False,False,dual_target_failure
U3-B012,124,295074.32654000015,577222.08711,607454.1462105003,703654.3492696001,0.0,6,0,0.1700752437533014,0.5638297872340425,20057.91624,28586302.6,False,False,dual_target_failure
U3-B013,124,256074.30208000002,568798.9491200004,592316.0420550003,716066.7597388002,0.0,6,0,0.2994598851543272,0.5,7776.16245,11108803.500000002,False,False,dual_target_failure
U3-B014,124,303171.932706,620450.4267727996,645007.8461294203,737995.3544100001,0.0,6,0,0.2865839199578384,0.5172413793103449,24320.596540000006,34607098.400000006,False,False,dual_target_failure
U3-B015,124,264503.88590999995,609413.89617,631568.9795148002,740698.6667715999,0.0,6,0,0.300750830368943,0.5,10560.857285999999,15086938.979999997,False,False,dual_target_failure
U3-B016,124,300012.49442,604463.7433299999,635489.3370725001,717801.0531850001,0.0,6,0,0.2280088812442984,0.6075949367088608,20287.061190000004,28925685.700000003,False,False,dual_target_failure
U3-B017,124,296808.33847,618662.78444,643783.7910020401,705726.9405810001,0.0,6,0,0.27500524801210935,0.6190476190476191,8492.971969999999,12132817.1,False,False,dual_target_failure
U3-B018,124,287149.2207800001,564439.2242300002,608333.1121590001,732618.6104049999,0.0,6,0,0.26873861080830663,0.5754716981132075,23193.863979999995,32981999.200000003,False,False,dual_target_failure
U3-B019,124,275472.121085,567864.1422072003,608018.92638236,734189.8973049999,0.0,6,0,0.2790121914150274,0.5862068965517241,10221.365839999999,14601951.200000001,False,False,dual_target_failure
U3-B020,124,300074.59990999993,607375.2193699998,630285.4400445003,716068.5810050002,0.0,6,0,0.2688968644926564,0.6075949367088608,19932.08511,28377309.900000006,False,False,dual_target_failure
