chunk,rows,sha256,mode,validated
20111209_20111209,1,021f213276d2081dfefdaa491c39ea94ef58cc3fd3b5cd22f118b5d4511a5e00,cache,True
20111212_20111212,1,cfe8c47fc563cdf3f19f6ef043652938513f242736872191ad247850129732fe,cache,True
20111213_20111213,1,2bad4f37f78d588ebc53c172701efcf799eda372607af4b91f91ac54f6af6a2e,cache,True
20111214_20111214,1,04e64c54a38f139817f2d19ea7b46deb45029dfd0e208a65fd771e6f4c4520ef,cache,True
20111215_20111215,1,b6449132314d811ada95bdbe0fed9f5d7d0e6eb3d969b3a98e0a6b703cddb0e4,cache,True
20111216_20111216,1,65b7cfb19731dee65fbf3293a690b3ff617a990944a050103df210c6dbb24931,cache,True
20111219_20111219,1,8ecbe697782f8aa1a09c82d5bdbac9514860272cbe8d5656ab671929f7ee1b3b,cache,True
20111220_20111220,1,1b17f93d4898cc886a1d65bf3b80d8a63beca52c5c9a564b1eb3d16462b8a964,cache,True
20111221_20111221,1,0ae8aa06885df6e6be5a8ebeb9ec2510270ca219fe54534d7ff3e52f5f3b8a36,cache,True
20111222_20111222,1,8820faef5351310774c5ebcde4a671a657d687dd61517adc4cd685a62b133523,cache,True
20111223_20111223,1,d587f4e8d4ac9892d25b4a56036612d18e241454e8619f0af7e5c88d932d576d,cache,True
20111226_20111226,1,e43fa4e0b81e11f591e0ce64954b6abd709f141182ac117bb65cbcbb6cbcc84f,cache,True
20111227_20111227,1,32366876fadceecf60d374123a637739d41d02960e630a5d40bd4f194963c919,cache,True
20111228_20111228,1,76be6ff7b120056d6d87575053b9c74fcc5c246acf4f51757d92b46cc27e6637,cache,True
20111229_20111229,1,ff0c8e893f8f1ecfd0778ef38828e04d585a1bf7aef8e6acca62839d547d0da8,cache,True
20111230_20111230,1,1961fe3a5323fa1d40f29670bc84776f99e8ee47c26250cc3bc4236cf465e5f7,cache,True
20120104_20120104,1,e6d3bbfc6f78caaee07807a189e17c8aef01f7d093de17535d74b1cb1760cb7d,cache,True
20120105_20120105,1,ce453b017b75d27a584b4515eb8803e7aceedc09c9651965249f0a03f8a1e053,cache,True
20120106_20120106,1,60131d44b315010ac52f8bc8394060e7900c3598b708f33789adf4e623fb3469,cache,True
20120109_20120109,1,efb1235807690bfe5559d2d6ef345627910afedea0cc5c050342aac19c36311a,cache,True
20120110_20120110,1,0760ecfe4e4917f4e37747739d47fc27292781a2bb7c192fe558aa06a6d2b178,cache,True
20120111_20120111,1,4478791c07362648ab7165fe7336953926c2809a1b095e0b0a669e437556998e,cache,True
20120112_20120112,1,0d7f16eedaa25d5d17473cbefe17a3857c9d7655907a539cfc68c3f1228d04e6,cache,True
20120113_20120113,1,2db486faed31b67db16d7b3323a2e241c52bab83cf6f9103f06fe5508bb63496,cache,True
20120116_20120116,1,8d684e6f5cbaa6e1009ebd70d0dae946f224b3f4f8696ee9fe94edb15c64e74e,cache,True
20120117_20120117,1,0af69e3d318e4fb40661c49cb0b35ddb9a7e5ca8246f900612e4945cc9c0910e,cache,True
20120118_20120118,1,06c39988187cf0ebc5e33135d0cd0337ea6c7d6b73179514c828df413312c11a,cache,True
20120119_20120119,1,6865a6873a86d6f3b43e44d13459ac2dc615c734117b52722c00024cfb8ef7b4,cache,True
20120120_20120120,1,f481e5939b1d95df3b12647cb4c560d7aa9251b708845628d01e8b1b89d869e8,cache,True
20120130_20120130,1,3db56339cacdfa02f104d1af1f3c902b8f4ed10a337a416ff9343b4ecfe98bbe,cache,True
20120131_20120131,1,debfc3471750f4098e22670c546cb629dd0dc8910e258a64410ad45e8565a7aa,cache,True
20120201_20120201,1,161b7d2bc708c9c8101b6023af27eadc3d6168b5b544f4b66d82904c415b12da,cache,True
20120202_20120202,1,8192ade28a1f5f843d8b11db16856f9ace574aab0dd78214535c384107aaf66a,cache,True
20120203_20120203,1,d2dcd3728bd6bb6f67c04b913311b4fcec7d2da7d05e103a1b595af20b3ed4c6,cache,True
20120206_20120206,1,2771276fdd51df5105358f50b84e8f99a76db767b8558b8f3cb7f6fdba46f34e,cache,True
20120207_20120207,1,faf8f7696b032086f07ae791ff18feb40c05abbdd069447cf3d7d47f12a7e6a6,cache,True
20120208_20120208,1,c8965ca9b99ee0ad5fc70ddf91ed0909aedb3a3d596d5d2608ff4e40dc2c27e3,cache,True
20120209_20120209,1,369b79eaa047240899dff175d7cf65d3ad7df2502c6b45704b293d58aaa6fdba,cache,True
20120210_20120210,1,5f98d0ff6eb45ec03d2feed6144291aafb738eb0246f98b4dde60a68b8e7cec0,cache,True
20120213_20120213,1,2ff2c2103c7e41756659f25242987ddaa8c02a103cd07588ad3546d2a64390db,cache,True
20120214_20120214,1,9c080db134cb8e7913a1a7cb3c289fd66410c4c62c9f9ef47ae369591be6044a,cache,True
20120215_20120215,1,136c0fbb764f9e82e0f9d7e730be77117f9bf7b5cd7e53b775aa1c3114cbd2aa,cache,True
20120216_20120216,1,b0687991176869950bda9223d6868a9448454df653d16659c80ee14bbd303ba5,cache,True
20120217_20120217,1,072cb0b7b073fca9bcd5358f4855b7b3cdd87b255ae7369e78527b5b24e0e5c8,cache,True
20120220_20120220,1,a066368f06b2403942e1cfd7c5a5e0815cc8e7b683b69f2dc97715894dc6afb5,cache,True
20120221_20120221,1,95ad060c69cd2206f57644c4556a79d1ef174ae6d2565cdf5691746bf407493f,cache,True
20120222_20120222,1,d6533ddcd525b995085058104b8cc6381a8bea09784ec95d85c1bc05b0e88103,cache,True
20120223_20120223,1,f400f7e96b4080c17122e7912e22b356183c09ab1edfda70b08488bf6b209ae3,cache,True
20120224_20120224,1,1a7923a2426eb3a7a228035aaac42c26ee007d98c49ca031c6a080bbe3fa701f,cache,True
20120227_20120227,1,16da359a77cf155ee6e24bb8cc6e92f64347c5a6e9c217878241d6795e3316fa,cache,True
20120228_20120228,1,48f3161c23a408a800347b685057e5b86e7e29d9bd3033fe29f515f6cfcf15d2,cache,True
20120229_20120229,1,6acab9062eda49bad6b7cbfb7404bfbff6709b1b3beef0b896888b3e9de673bd,cache,True
20120301_20120301,1,66ee99f224efd86bece095331600d88dc0141a612cd72567d48af229beba0b6f,cache,True
20120302_20120302,1,54c1347da192f6a45620de316f367d077f42e84ee992b96e67c7212aed47cb38,cache,True
20120305_20120305,1,26bfede203cfd592b43d29b0c59a2f930d99752bd0e7b8061dfd144729471c89,cache,True
20120306_20120306,1,8edaa4f291e3e01569d152caaec3bac0e16bcd2c9e8d77f10eedc6ebc2377e3a,cache,True
20120307_20120307,1,94d4bfef3a5b531289040a3d118a28d47b2c683ba28c75566eefae073caab5ba,cache,True
20120308_20120308,1,e20bc7d3d6b4760ee25ee111121c5b3fb021d73ccc1c08ecf341e777b2da53fe,cache,True
20120309_20120309,1,b1300c1790850b5f4daecaf504bee720601acf64a89189f38b544028ef180dda,cache,True
20120312_20120312,1,358dc04b95c4656cc8be8c2a6d178c8587f3a861c46ba0a1731f515c520f8bbe,cache,True
20120313_20120313,1,5de3c45776bf8ba080aab09da5978dd2251411ab13ac1eb1104e6f4aec32f746,cache,True
20120314_20120314,1,ddcd819464142c5917adb4660cad2c8ba2c3514bac1dc83cdcc8eecb946af1af,cache,True
20120315_20120315,1,78e124a5a466e7a7c2ab2380c7c438cd3fc7bf2ba0cc52198d8512e8ab051354,cache,True
20120316_20120316,1,e162b2263a53e6232964d2f8d5a44788a00ab724c1b5ba098c35aee549942822,cache,True
20120319_20120319,1,2b72a69a021df7e6499ed3fc119f112c3fdadb471791d0d8440ee8ce93763c6f,cache,True
20120320_20120320,1,568eae7b0da86c5f33a17ad8b8776e3e8df837cc6152c7ee09243301d521a183,cache,True
20120321_20120321,1,1f5f32afe447719993ef7f1abc7357fda90aa158b20fe42815859e1c89116ea1,cache,True
20120322_20120322,1,4ebc2fab2e4cd1273e345035dbf7e18e24212a9680f0d286bfc0bd446d51379d,cache,True
20120323_20120323,1,9dc1a08145e1530ad825d4f2ce93d24e2f16c438e9c49cdba6f7bcc440b35ead,cache,True
20120326_20120326,1,1b3bc958a38a13d125273d7e0dd4df90ac276e6f82cb41ce27827b6aa6991a44,cache,True
20120327_20120327,1,9b4ea331910a01b6c6452e78c313064e7e20044f4fc6028a3c663b0dc03e01d1,cache,True
20120328_20120328,1,b5ec29044cd7aeab20e9fdc5f22edf093cc78a4076c1cb7e616ddd7aded3c9dd,cache,True
20120329_20120329,1,be25417515f434eea87ca2fd226b994a2b0547fa97b79170ec799d79b112df62,cache,True
20120330_20120330,1,7cf53d3c9ecd1104bddf007c0a0fa88a6b06bc2a910102860da78dd40229674e,cache,True
20120405_20120405,1,1a69c87d1f4f4861a0c5cd21cae2ebd18c85d99449a7098df311b978eae7acf9,cache,True
20120406_20120406,1,b9e28ae9c778b66c3d46c5a841e2dfb1837e98bf3258f05d803805b108dd5eec,cache,True
20120409_20120409,1,09c136fd8d51c5318c2051ff726b83c4041f1fd749d98b56bb6069a5151300ad,cache,True
20120410_20120410,1,9432c57b486de9ca22d8d12b48d3d53de761b93bfe13aa4989978e42cbc67ac8,cache,True
20120411_20120411,1,4b251fba9ca35cb3bd39ab7cb88010244fe79e32017cb948f1b33bb01f665af9,cache,True
20120412_20120412,1,55f73c23c3591b67843341e24b68b57e786cd3c48167e96005ff6d26a7f2325c,cache,True
20120413_20120413,1,613adbfbc973d937074fc1f4d516fdbbe2ddc33d0db74362cccd3830201fb14d,cache,True
20120416_20120416,1,af1390fe1aca6244476cf30cd22a7c82ea9adec6db838cb663254e87c3f5f70d,cache,True
20120417_20120417,1,5d1ebdb53d0bf874cf36a9ae415a35d51e2c0ed0a84a431cc17fc1dbf92cb607,cache,True
20120418_20120418,1,d7ed5e84a3b41e39c2a90264b426ebaf5e2ad19a8f157685625b003b64440fdb,cache,True
20120419_20120419,1,c7ea1e2b12b26bb7f0c3085fa382112ceae35849364e0d0ab778751608c0135b,cache,True
20120420_20120420,1,8d8e82691a3867008e52635e581a6e79834d383182ff6ce7e96b3bf290063f3e,cache,True
20120423_20120423,1,54d9ed1b72305eaf1a18e13eabc2e4bacfd9cd3e3601b6311729487c4c05ee05,cache,True
20120424_20120424,1,3ee3f4484cbb743fc711cd17e40d96ac0c391f772cc8332bd3c67e30baf96572,cache,True
20120425_20120425,1,6b8238f5b1012595bbba562c306b20f7a75df7154f97a2e98a1bf59cb80ad2f3,cache,True
20120426_20120426,1,77c611fe5df312150d4301b4d5d549e8b419fee71f6fdd9edc15a28f0eb9373c,cache,True
20120427_20120427,1,9ae67238e758556fc746b13b128c5de779932ff94ec611ff19edbfc425434739,cache,True
20120502_20120502,1,df6b83e3d08fb3f6bff0dcc055bebd888b90839bf1258a9be290828d5460928c,cache,True
20120503_20120503,1,a234468f242335450fb2fe2f4fc262a5151738b9de52dc00fb02df2129699a69,cache,True
20120504_20120504,1,11faabec307aad176832214b9e49788b23e95b83f39a5c16398d3b8598e6fee3,cache,True
20120507_20120507,1,b977d9017c8a9424c259197fd190c81773d9b544a4658700687f7886f399d36d,cache,True
20120508_20120508,1,cc827ff661d287e442537a70705711c63dcdb2b2160151ffa0b40f1d836d13af,cache,True
20120509_20120509,1,1dc0fb83a6e45a96d6352af55b28053dc29ea489a9a8ca64b5d506aa3289cbfd,cache,True
20120510_20120510,1,38ec393caafa2a6dbb37c1c60af431bed93eb28c6e6bcd0c0a4066629c8d2b7d,cache,True
20120511_20120511,1,a6ab658a0f251d303fc401085348badb01b84eb01c8c0a61c8d4afed663e5771,cache,True
20120514_20120514,1,0160786d44b3a37c429623f75af0111dea21e9bf57b9dd1bcbac7d803c77e2cc,cache,True
20120515_20120515,1,423b2bcaa856445116eeb139275e7f3661be6bd04ef013fd23d017947242d86f,cache,True
20120516_20120516,1,46c6347a6b58d2eb5a2f81fdfd0bb52165d5211832a7aec9e5ce3a84591ce23b,cache,True
20120517_20120517,1,bc18db461041d6b8eeb910b293a89684fb5ed6d5f2b417a2eb15cea44a1b4e22,cache,True
20120518_20120518,1,249e8c4134c7f9b885a3da668d819e08766a62a0c59980b2f6831dcf76b50d4a,cache,True
20120521_20120521,1,c0b15f1efa3e86655b2a04c5372e51c016dab1404e71d0e36027c0d434b65d9c,cache,True
20120522_20120522,1,0382726a59aa9588aa5ab8b6e4e56507ea703f9f1298bea215ceb9c1bb28af6b,cache,True
20120523_20120523,1,f9a3de16b3364067928ea818c9a2b145cf0fa692fde3df0bb375226ebfb6792b,cache,True
20120524_20120524,1,f621c93a277ed7b892afa25e4c39a9adafa7140bba43ed7dd86b4c90813b0269,cache,True
20120525_20120525,1,7004e4bf3b441e4567db59676078f19abd738903a9d582f7d07d1b601e437bfc,cache,True
20120528_20120528,1,8f6aa037fb23ecccc09a88b697c26656d475dfa596c6cde6c39542bca0fd03fc,cache,True
20120529_20120529,1,c46a8965c0f658bd877e5448c8bac1056662545cc335a6dbc29dbbade27d65db,cache,True
20120530_20120530,1,5241eb8dc9d61c4a41b4200d9837dd95a34279974dc33896aefa9652fc3d40c5,cache,True
20120531_20120531,1,a5fe29ab10eaf69d41f353e47e58595abe07698ef78522e96e6a0afbab402cc0,cache,True
20120601_20120601,1,0e782fb86e14995af059782aed6be80598ac0d4452d3709a021f268f9f14dc3a,cache,True
20120604_20120604,1,dae38fb51362bb61ef0359dc23465986d825bef42814be27f2573d00a77b1e38,cache,True
20120605_20120605,1,a8ce4fbc94c452c016f087905c377c376d97911fbc6bcbf5192e2426226f7328,cache,True
20120606_20120606,1,a7b68afb2701bd717710db3dd745dc13a3582c7f8075d87a18529bd311d4b03a,cache,True
20120607_20120607,1,9263d971f37ea2ef7e1af80931d5d5085b0f36e88cfe5000ad1d0d744b6a25d1,cache,True
20120608_20120608,1,89bb52991ca134ed334a7900fef4bd0b7611fcf42ec92a5bf36f641a4412fdd2,cache,True
20120611_20120611,1,cc48927be444d0e88d7edc221f111b8b660817f99db1c949767b3d475ce1af0d,cache,True
20120612_20120612,1,a47e21e6d94d909059c7016675ad1e2754c9562f7cad58f227063d837d37e80b,cache,True
20120613_20120613,1,4b7e191c6cff5d51bcf8c3d9d3584ceb21b4cf6c83d89c89e23bffda110f63e8,cache,True
20120614_20120614,1,74e9b38f16ec4d82ff27b17dd3d455e619e3fb5886e707854b40b4bae4f1f047,cache,True
20120615_20120615,1,44454d008e953f1c04d0090c0b4e42eceaa771ea4663bc7608f435be937e844f,cache,True
20120618_20120618,1,f08f0ea20001f2c9f3a3d57b950beb72443026aca5d702d1aa76842306597c8e,cache,True
20120619_20120619,1,254ae4b0c15bb10eeb4d115c24f8cf9e92341ad65abe496274685e6aab36c420,cache,True
20120620_20120620,1,db1de8151ae4e8873342cee39921f37062b66aacf4cc24daf0ae05c2e95299ab,cache,True
20120621_20120621,1,4a709224bea948fd2022207b75b19ee80f287c80f6e48e3bfafe7a9cfe0d9388,cache,True
20120625_20120625,1,6479f02edabfef8d580318baced7ed86b36602d22cfb890d517bd72bf161eea4,cache,True
20120626_20120626,1,fa0e4ee3a50b616a79ee8adcc8a11bece4f3f6e70f9575f9f4650cd4a5ca4207,cache,True
20120627_20120627,1,2262e29b1b43936517827ad6d7f7b563c98f9be5c82101a811bd03efd8ed3510,cache,True
20120628_20120628,1,38d8def3b0f35c8584b06c604ef38bae4c9385062951473b42c4fe444a89b1a6,cache,True
20120629_20120629,1,3d151c01c422bcaa95a60e85a88278365a9689ad39eea11baaefd92273b982e3,cache,True
20120702_20120702,1,95a0af6d8bb11232e9dafb1c3e1884fd1e1d24d7044d1bcb5d82137c43895a23,cache,True
20120703_20120703,1,d3d0dbe49737847907647695096aefa6ddf68ef815df516406e7912e53685e7f,cache,True
20120704_20120704,1,596982822770d9115ba14e1de488b11e2b5e8f0733de9569252c49b7b32b8914,cache,True
20120705_20120705,1,905dacade646902c51d986db2757093988cf2df7e9cf7a54e44747bd5b993614,cache,True
20120706_20120706,1,bc2da975532eacf46cd3ef1bfd71d2589bb4a471eda39304f86031971a9ca39c,cache,True
20120709_20120709,1,2cdaedddd56af3cb1d65107c07308a68a7b228b54c1a4ec0c0954eb90197715a,cache,True
20120710_20120710,1,adb7d46667e0312bc2f4e40106934df3e21975c84338d2a029b30f83a7523576,cache,True
20120711_20120711,1,726e687e9a453f1c6b4f2265e6b505c3b4916bfc2c11776abea15e54a1bb6030,cache,True
20120712_20120712,1,51746c5b739413d059a392c985ad1dadfd6577737fe7b10ab74e027759d95b3f,cache,True
20120713_20120713,1,2411ae4f5da55b8f02fa1a7b8f1cd52ec4e4014b3e94a7d44b3cbad511afceac,cache,True
20120716_20120716,1,ba17851fa8ac0c122c49628e2447fe442db22efdcfb4cc149a04bbdc0f941b06,cache,True
20120717_20120717,1,cbb7a350bb4806173a641a889b4dc7cb6dfc6d4c42c9c6e0a7a6ab0d86b8a5bd,cache,True
20120718_20120718,1,be726e3a766b586d16472b14fdcf6e5ea9a14fbb470dde09110efbd79a922a1f,cache,True
20120719_20120719,1,598d37d34da14a9ccb87c1f9059ea04d2c151b175a4e30ad6ff6786678b12777,cache,True
20120720_20120720,1,171131b33010730342d270448a8373adbea5ea7fbbf592198c486e70e6a2cd14,cache,True
20120723_20120723,1,0f612332851b1186634d3fee44b3a2c32f16765eaa2bd558a7798f979d08b034,cache,True
20120724_20120724,1,7b1b0a08fd9db21b675969d9d50dd33e74fca491a79ef4bb202558083b19b6ca,cache,True
20120725_20120725,1,8791717f30e368c9c9842834e27e6d9ed928443ac0aaa5a80162f23363a223cb,cache,True
20120726_20120726,1,5995448bf9519fd41ec654b900388938ffea8e85af850279511be1827963cf96,cache,True
20120727_20120727,1,4f9a7aefc7ae4b8221386e775b6e82de62862b022058f41dfacca634ee2f0762,cache,True
20120730_20120730,1,0bfdb3654c5bd86df8df0ea950e0aa689b17a37734160c41b6ca473752b19164,cache,True
20120731_20120731,1,53a63b86360d40c58d99035335c872500be3fcf1a7f1639b68ea93762876f3ac,cache,True
20120801_20120801,1,a2c0800b75af162786d60facebb8d7882083fbff7906b246f347cbe263c29a62,cache,True
20120802_20120802,1,2b1e013b979e3f072bfaefe1797933f8409c0717a98ddd7150efe85257f7c81e,cache,True
20120803_20120803,1,5c75b844b5a90631f07bba21689f439f38eb2dc1937ee47d96c07f8d1199bd86,cache,True
20120806_20120806,1,2e2d522b35c1ffcee13b45b562c7209b58f51124bdf77285561130f5ff5d11ce,cache,True
20120807_20120807,1,274a087d73bf2f084a615afa105bf4f0da6a4b21f5de9b8c0b33c5813a7fb360,cache,True
20120808_20120808,1,d317dd30b89b204f60260d6ad75a18b5badf03e8685b9a417e11313fd8e80ac4,cache,True
20120809_20120809,1,7d122b0ad25196da9077468ae8be2e69fca3e94fc6ab8ef036c8022aeaa9ed65,cache,True
20120810_20120810,1,1ee374b508068b4b815d84839bbc115fb8b74c8a1c472b127ea9da84f4a48ca7,cache,True
20120813_20120813,1,08ff5954b3b2cfadaaa21a16066fe7b2828b4b6ea7ba2e7c3149729106274b43,cache,True
20120814_20120814,1,2c567feff82241376c16405628483d702466c3c4c33297970a062601baa75596,cache,True
20120815_20120815,1,617dc6952bb3b0d6b5600770902ab8113160ba34bc015896e6c96fe122cd18a3,cache,True
20120816_20120816,1,0fbfd1660ee50d6641b0fc6f808618063d5823e32e791b728bca77f0ef036134,cache,True
20120817_20120817,1,0e4d5f538ea28f4476db608701b46ef7ffcdf88d6299b10173048acf2b850311,cache,True
20120820_20120820,1,ef84952da21915fbcc27edd79125008f2e3ae865555f9346aaf28ab77dd97360,cache,True
20120821_20120821,1,bdee916ebf0f89c94c1a6948b69167d33e2768966c61ad7c4f550a95609a2ae6,cache,True
20120822_20120822,1,9010ce01f31157551b21dc1100e9497aaf88c17a892892f19770ed158c949bac,cache,True
20120823_20120823,1,96f9030ca253840c344b3e148507fa427a19ef07b1bb5d04f7d3ec04288ca28b,cache,True
20120824_20120824,1,0cfb251fb314dfe3af14227f94a21a32fcecedd2c212aa8d5483fa4eed87ffd6,cache,True
20120827_20120827,1,e88f05516ea6be79dec644cf230bad66e77cad70aa1bd716449a951e3cb6ca81,cache,True
20120828_20120828,1,f642e7478b757dffef6b9a7bf7c7da283506c2baf48caf971ee681cc9f4d32a5,cache,True
20120829_20120829,1,c54b7e21ae828ceb1d59b9c197d03a913843d073d259831ae846ecbfd473fb7a,cache,True
20120830_20120830,1,a845543a68abac44dca10157a17720be82fea4e4c21debea1762a097bc9b75eb,cache,True
20120831_20120831,1,f4ab7df84705f127071fd9027c5e5c992f98bef6e53b720b12f73f1410d1804c,cache,True
20120903_20120903,1,212bc52720030ec3c95676bc94d244d85ac297399548b661670f7c2ddaacf5ab,cache,True
20120904_20120904,1,764939b72c61fe47d30297d3882c83cf11db82d54f52a17229bcca74a6873615,cache,True
20120905_20120905,1,b19770ab80da439053f1cd1f5d21b85fd2ee9be1f577b9767563fede2c63e6d4,cache,True
20120906_20120906,1,ad7f1616bea24cd5cb38b2b1cb0377e57ca4b436b44534ff62c709b90fdefc01,cache,True
20120907_20120907,1,10acd6bc2574b9416d389118302c1cd00c3000c38cf7de9ea95c425cbcb13a8c,cache,True
20120910_20120910,1,da4a1459565e19d2b8c350dfdf71abc43544df750564aab05675f050f060f8c4,cache,True
20120911_20120911,1,eeaa3d29fc5565a44f5e0c30590bf0ee36b1b42beee07d527129f2106ea07313,cache,True
20120912_20120912,1,4040af0ffd8bd8f465db3ca7015dc24e395154fea4ce516b8c15602c72cc92cb,cache,True
20120913_20120913,1,b21ca6af22a99db297ebdfcff829653d83774b2ef0a30fc9505b506d3ac1cced,cache,True
20120914_20120914,1,980e7a0f9c96789eaf84a580f0748edd94687cf8aa3f34d27ee3e6b275938655,cache,True
20120917_20120917,1,304018a50daee747008796d3660d1e741eb1d38bafd1047a0bdcc31ce4375c33,cache,True
20120918_20120918,1,7f4ea706f135d6d2f56ed4d1660858548fb1cb87f249e7179d57a8273da41d5f,cache,True
