instrument,instrument_type,deposit_timing,budget_rule,observations,infeasible_share,first_feasible_date,median_one_contract_cash,evidence_tier
IF,future,beginning,official_margin_0.1200_buffer_0.1500,116,1.0,,166532.4,official_daily_open_plus_20260623_margin_snapshot
IH,future,beginning,official_margin_0.1200_buffer_0.1500,116,0.603448275862069,2026-04-01,104252.4,official_daily_open_plus_20260623_margin_snapshot
IC,future,beginning,official_margin_0.1200_buffer_0.1500,116,1.0,,191940.0,official_daily_open_plus_20260623_margin_snapshot
IM,future,beginning,official_margin_0.1200_buffer_0.1500,116,1.0,,188964.0,official_daily_open_plus_20260623_margin_snapshot
IF,future,ending,official_margin_0.1200_buffer_0.1500,116,1.0,,166532.4,official_daily_open_plus_20260623_margin_snapshot
IH,future,ending,official_margin_0.1200_buffer_0.1500,116,0.8189655172413793,2026-06-01,104252.4,official_daily_open_plus_20260623_margin_snapshot
IC,future,ending,official_margin_0.1200_buffer_0.1500,116,1.0,,191940.0,official_daily_open_plus_20260623_margin_snapshot
IM,future,ending,official_margin_0.1200_buffer_0.1500,116,1.0,,188964.0,official_daily_open_plus_20260623_margin_snapshot
IO,long_option,beginning,premium_pct_nav_0.003,116,0.9913793103448276,2026-05-14,2160.0,official_daily_open_prior_volume_pending_dte_lower_bound
HO,long_option,beginning,premium_pct_nav_0.003,116,0.9913793103448276,2026-05-14,1320.0,official_daily_open_prior_volume_pending_dte_lower_bound
MO,long_option,beginning,premium_pct_nav_0.003,116,1.0,,4850.0,official_daily_open_prior_volume_pending_dte_lower_bound
IO,long_option,ending,premium_pct_nav_0.003,116,0.9913793103448276,2026-05-14,2160.0,official_daily_open_prior_volume_pending_dte_lower_bound
HO,long_option,ending,premium_pct_nav_0.003,116,0.9913793103448276,2026-05-14,1320.0,official_daily_open_prior_volume_pending_dte_lower_bound
MO,long_option,ending,premium_pct_nav_0.003,116,1.0,,4850.0,official_daily_open_prior_volume_pending_dte_lower_bound
IO,long_option,beginning,premium_pct_nav_0.005,116,0.9655172413793104,2026-04-08,2160.0,official_daily_open_prior_volume_pending_dte_lower_bound
HO,long_option,beginning,premium_pct_nav_0.005,116,0.9310344827586207,2026-03-19,1320.0,official_daily_open_prior_volume_pending_dte_lower_bound
MO,long_option,beginning,premium_pct_nav_0.005,116,0.9827586206896551,2026-05-13,4850.0,official_daily_open_prior_volume_pending_dte_lower_bound
IO,long_option,ending,premium_pct_nav_0.005,116,0.9827586206896551,2026-05-14,2160.0,official_daily_open_prior_volume_pending_dte_lower_bound
HO,long_option,ending,premium_pct_nav_0.005,116,0.9741379310344828,2026-05-08,1320.0,official_daily_open_prior_volume_pending_dte_lower_bound
MO,long_option,ending,premium_pct_nav_0.005,116,0.9827586206896551,2026-05-13,4850.0,official_daily_open_prior_volume_pending_dte_lower_bound
IO,long_option,beginning,premium_pct_nav_0.008,116,0.8706896551724138,2026-03-19,2160.0,official_daily_open_prior_volume_pending_dte_lower_bound
HO,long_option,beginning,premium_pct_nav_0.008,116,0.7672413793103449,2026-03-17,1320.0,official_daily_open_prior_volume_pending_dte_lower_bound
MO,long_option,beginning,premium_pct_nav_0.008,116,0.9568965517241379,2026-04-08,4850.0,official_daily_open_prior_volume_pending_dte_lower_bound
IO,long_option,ending,premium_pct_nav_0.008,116,0.9482758620689655,2026-04-08,2160.0,official_daily_open_prior_volume_pending_dte_lower_bound
HO,long_option,ending,premium_pct_nav_0.008,116,0.8362068965517241,2026-03-19,1320.0,official_daily_open_prior_volume_pending_dte_lower_bound
MO,long_option,ending,premium_pct_nav_0.008,116,0.9568965517241379,2026-04-08,4850.0,official_daily_open_prior_volume_pending_dte_lower_bound
