spec_id,family,parameters,strict_eligible
S4ARB-0000,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0001,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0002,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0003,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0004,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0005,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0006,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0007,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0008,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0009,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0010,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0011,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.25,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0012,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0013,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0014,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0015,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0016,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0017,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0018,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0019,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0020,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0021,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0022,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0023,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":1.5,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0024,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0025,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":1,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0026,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0027,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":1,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0028,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0029,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":3,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0030,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0031,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":3,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
S4ARB-0032,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.0}",False
S4ARB-0033,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":5,""margin_buffer"":0.2,""risk_reduction"":0.5}",False
S4ARB-0034,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.0}",False
S4ARB-0035,sse_four_asset_trend_risk_budget_v1__IH,"{""product"":""IH"",""trend_window"":20,""nav_margin_multiple"":2.0,""roll_lead_days"":5,""margin_buffer"":0.3,""risk_reduction"":0.5}",False
