spec_id,W12,W24,margin_peak,asset_identity_failures
S4ARB-0136,394877.02690000006,859394.2648100001,279300.0,0
S4ARB-0137,394877.02690000006,859394.2648100001,279300.0,0
S4ARB-0138,394877.02690000006,859394.2648100001,279300.0,0
S4ARB-0139,394877.02690000006,859394.2648100001,279300.0,0
S4ARB-0168,393546.41977,823165.66946,242280.0,0
S4ARB-0169,393546.41977,823165.66946,242280.0,0
S4ARB-0170,393546.41977,823165.66946,242280.0,0
S4ARB-0171,393546.41977,823165.66946,242280.0,0
S4ARB-0172,393546.41977,823133.66946,242280.0,0
S4ARB-0173,393546.41977,823133.66946,242280.0,0
S4ARB-0174,393546.41977,823133.66946,242280.0,0
S4ARB-0175,393546.41977,823133.66946,242280.0,0
S4ARB-0176,393546.41977,823101.66946,242280.0,0
S4ARB-0177,393546.41977,823101.66946,242280.0,0
S4ARB-0178,393546.41977,823101.66946,242280.0,0
S4ARB-0179,393546.41977,823101.66946,242280.0,0
S4ARB-0135,394877.02690000006,808575.8934399998,279300.0,0
S4ARB-0134,394877.02690000006,808575.8934399998,279300.0,0
S4ARB-0133,394877.02690000006,808575.8934399998,279300.0,0
S4ARB-0132,394877.02690000006,808575.8934399998,279300.0,0
S4ARB-0140,394877.02690000006,806290.2258499999,280404.0,0
S4ARB-0141,394877.02690000006,806290.2258499999,280404.0,0
S4ARB-0142,394877.02690000006,806290.2258499999,280404.0,0
S4ARB-0143,394877.02690000006,806290.2258499999,280404.0,0
S4ARB-0147,420928.36546,799811.80654,245928.0,0
S4ARB-0146,420928.36546,799811.80654,245928.0,0
S4ARB-0145,420928.36546,799811.80654,245928.0,0
S4ARB-0144,420928.36546,799811.80654,245928.0,0
S4ARB-0148,374547.7035200001,799779.8065399999,247680.0,0
S4ARB-0149,374547.7035200001,799779.8065399999,247680.0,0
S4ARB-0150,374547.7035200001,799779.8065399999,247680.0,0
S4ARB-0151,374547.7035200001,799779.8065399999,247680.0,0
S4ARB-0155,374547.7035200001,799747.8065399999,252936.0,0
S4ARB-0154,374547.7035200001,799747.8065399999,252936.0,0
S4ARB-0153,374547.7035200001,799747.8065399999,252936.0,0
S4ARB-0152,374547.7035200001,799747.8065399999,252936.0,0
S4ARB-0131,394877.02690000006,779849.6653100002,251040.0,0
S4ARB-0130,394877.02690000006,779849.6653100002,251040.0,0
S4ARB-0129,394877.02690000006,779849.6653100002,251040.0,0
S4ARB-0128,394877.02690000006,779849.6653100002,251040.0,0
S4ARB-0127,394877.02690000006,775856.9672000001,279300.0,0
S4ARB-0126,394877.02690000006,775856.9672000001,279300.0,0
S4ARB-0125,394877.02690000006,775856.9672000001,279300.0,0
S4ARB-0124,394877.02690000006,775856.9672000001,279300.0,0
S4ARB-0120,394877.02690000006,773871.4561600001,279300.0,0
S4ARB-0121,394877.02690000006,773871.4561600001,279300.0,0
S4ARB-0122,394877.02690000006,773871.4561600001,279300.0,0
S4ARB-0123,394877.02690000006,773871.4561600001,279300.0,0
S4ARB-0180,390038.57882,767628.7196899999,245928.0,0
S4ARB-0181,390038.57882,767628.7196899999,245928.0,0
S4ARB-0182,390038.57882,767628.7196899999,245928.0,0
S4ARB-0183,390038.57882,767628.7196899999,245928.0,0
S4ARB-0191,390038.57882,767628.7196899999,252936.0,0
S4ARB-0190,390038.57882,767628.7196899999,252936.0,0
S4ARB-0189,390038.57882,767628.7196899999,252936.0,0
S4ARB-0188,390038.57882,767628.7196899999,252936.0,0
S4ARB-0187,390038.57882,767628.7196899999,247680.0,0
S4ARB-0186,390038.57882,767628.7196899999,247680.0,0
S4ARB-0185,390038.57882,767628.7196899999,247680.0,0
S4ARB-0184,390038.57882,767628.7196899999,247680.0,0
S4ARB-0159,394604.93785,766746.1753700001,236388.0,0
S4ARB-0158,394604.93785,766746.1753700001,236388.0,0
S4ARB-0157,394604.93785,766746.1753700001,236388.0,0
S4ARB-0156,394604.93785,766746.1753700001,236388.0,0
S4ARB-0160,394572.93784999993,766690.3037399999,236484.0,0
S4ARB-0161,394572.93784999993,766690.3037399999,236484.0,0
S4ARB-0162,394572.93784999993,766690.3037399999,236484.0,0
S4ARB-0163,394572.93784999993,766690.3037399999,236484.0,0
S4ARB-0164,394540.93784999993,766658.3037399999,240300.0,0
S4ARB-0165,394540.93784999993,766658.3037399999,240300.0,0
S4ARB-0166,394540.93784999993,766658.3037399999,240300.0,0
S4ARB-0167,394540.93784999993,766658.3037399999,240300.0,0
S4ARB-0192,394128.72277,766213.02886,236388.0,0
S4ARB-0193,394128.72277,766213.02886,236388.0,0
S4ARB-0194,394128.72277,766213.02886,236388.0,0
S4ARB-0195,394128.72277,766213.02886,236388.0,0
S4ARB-0196,394096.72277,766181.02886,236484.0,0
S4ARB-0197,394096.72277,766181.02886,236484.0,0
S4ARB-0198,394096.72277,766181.02886,236484.0,0
S4ARB-0199,394096.72277,766181.02886,236484.0,0
S4ARB-0200,394064.72277,766041.60362,240300.0,0
S4ARB-0201,394064.72277,766041.60362,240300.0,0
S4ARB-0202,394064.72277,766041.60362,240300.0,0
