spec_id,W12,W24,margin_peak,asset_identity_failures
S4ARB-0027,385612.01332,810310.89412,180864.0,0
S4ARB-0026,385612.01332,810310.89412,180864.0,0
S4ARB-0025,385612.01332,810310.89412,180864.0,0
S4ARB-0024,385612.01332,810310.89412,180864.0,0
S4ARB-0028,385612.01332,810139.33087,180864.0,0
S4ARB-0029,385612.01332,810139.33087,180864.0,0
S4ARB-0030,385612.01332,810139.33087,180864.0,0
S4ARB-0031,385612.01332,810139.33087,180864.0,0
S4ARB-0032,385580.01332000014,802012.71238,183300.0,0
S4ARB-0033,385580.01332000014,802012.71238,183300.0,0
S4ARB-0034,385580.01332000014,802012.71238,183300.0,0
S4ARB-0035,385580.01332000014,802012.71238,183300.0,0
S4ARB-0060,408668.55393000005,794720.94258,163200.0,0
S4ARB-0061,408668.55393000005,794720.94258,163200.0,0
S4ARB-0062,408668.55393000005,794720.94258,163200.0,0
S4ARB-0063,408668.55393000005,794720.94258,163200.0,0
S4ARB-0064,408636.55393000005,794688.94258,164424.0,0
S4ARB-0065,408636.55393000005,794688.94258,164424.0,0
S4ARB-0066,408636.55393000005,794688.94258,164424.0,0
S4ARB-0067,408636.55393000005,794688.94258,164424.0,0
S4ARB-0068,408604.55393000005,794656.94258,170388.0,0
S4ARB-0069,408604.55393000005,794656.94258,170388.0,0
S4ARB-0070,408604.55393000005,794656.94258,170388.0,0
S4ARB-0071,408604.55393000005,794656.94258,170388.0,0
S4ARB-0096,408149.11397000006,794155.9940500001,163200.0,0
S4ARB-0097,408149.11397000006,794155.9940500001,163200.0,0
S4ARB-0098,408149.11397000006,794155.9940500001,163200.0,0
S4ARB-0099,408149.11397000006,794155.9940500001,163200.0,0
S4ARB-0100,408117.1139700002,794123.9940500002,164424.0,0
S4ARB-0101,408117.1139700002,794123.9940500002,164424.0,0
S4ARB-0102,408117.1139700002,794123.9940500002,164424.0,0
S4ARB-0103,408117.1139700002,794123.9940500002,164424.0,0
S4ARB-0107,408085.1139700002,794092.9943500002,170388.0,0
S4ARB-0106,408085.1139700002,794092.9943500002,170388.0,0
S4ARB-0105,408085.1139700002,794092.9943500002,170388.0,0
S4ARB-0104,408085.1139700002,794092.9943500002,170388.0,0
S4ARB-0048,349921.91425000003,726872.0857000002,168432.0,0
S4ARB-0049,349921.91425000003,726872.0857000002,168432.0,0
S4ARB-0050,349921.91425000003,726872.0857000002,168432.0,0
S4ARB-0051,349921.91425000003,726872.0857000002,168432.0,0
S4ARB-0055,349857.91425000015,726808.0857000002,168432.0,0
S4ARB-0054,349857.91425000015,726808.0857000002,168432.0,0
S4ARB-0053,349857.91425000015,726808.0857000002,168432.0,0
S4ARB-0052,349857.91425000015,726808.0857000002,168432.0,0
S4ARB-0056,349793.91425000015,726755.0695400002,170388.0,0
S4ARB-0057,349793.91425000015,726755.0695400002,170388.0,0
S4ARB-0058,349793.91425000015,726755.0695400002,170388.0,0
S4ARB-0059,349793.91425000015,726755.0695400002,170388.0,0
S4ARB-0036,339715.4858400001,715702.5873200002,168432.0,0
